[       5 points] regret_avg: 0.4988 | regret_pref: 1.0000 | reward_optimal: 0.4739 | reward_pref: -0.0249 | reward_npref: 0.1385
[     245 points] regret_avg: 14.5900 | regret_pref: 20.0000 | reward_optimal: 25.6548 | reward_pref: 11.0648 | reward_npref: 4.9370
[     250 points] regret_avg: 14.8597 | regret_pref: 20.0000 | reward_optimal: 26.0963 | reward_pref: 11.2366 | reward_npref: 5.1029
[     255 points] regret_avg: 15.0158 | regret_pref: 20.0000 | reward_optimal: 27.3970 | reward_pref: 12.3812 | reward_npref: 6.0925
[     260 points] regret_avg: 15.9920 | regret_pref: 20.0000 | reward_optimal: 27.7159 | reward_pref: 11.7239 | reward_npref: 4.8704
[     265 points] regret_avg: 16.1848 | regret_pref: 20.0000 | reward_optimal: 28.0885 | reward_pref: 11.9037 | reward_npref: 5.0040
[     270 points] regret_avg: 16.1848 | regret_pref: 20.0000 | reward_optimal: 28.9811 | reward_pref: 12.7963 | reward_npref: 5.3589
[     275 points] regret_avg: 16.1848 | regret_pref: 20.0000 | reward_optimal: 29.5392 | reward_pref: 13.3544 | reward_npref: 5.7297
[     280 points] regret_avg: 16.5946 | regret_pref: 20.0000 | reward_optimal: 29.8884 | reward_pref: 13.2937 | reward_npref: 5.5858
[     285 points] regret_avg: 16.8583 | regret_pref: 20.0000 | reward_optimal: 30.2875 | reward_pref: 13.4291 | reward_npref: 5.7105
[     290 points] regret_avg: 17.3021 | regret_pref: 21.0000 | reward_optimal: 31.0396 | reward_pref: 13.7375 | reward_npref: 6.1622
[     295 points] regret_avg: 17.3021 | regret_pref: 21.0000 | reward_optimal: 32.5465 | reward_pref: 15.2444 | reward_npref: 6.8553
[     300 points] regret_avg: 17.5566 | regret_pref: 21.0000 | reward_optimal: 32.8987 | reward_pref: 15.3421 | reward_npref: 6.2068
[     305 points] regret_avg: 17.9726 | regret_pref: 21.0000 | reward_optimal: 33.9153 | reward_pref: 15.9427 | reward_npref: 6.5194
[     310 points] regret_avg: 18.4962 | regret_pref: 21.0000 | reward_optimal: 34.0999 | reward_pref: 15.6037 | reward_npref: 5.9868
[     315 points] regret_avg: 19.2072 | regret_pref: 22.0000 | reward_optimal: 35.3092 | reward_pref: 16.1020 | reward_npref: 6.5520
[     320 points] regret_avg: 19.6296 | regret_pref: 23.0000 | reward_optimal: 35.7272 | reward_pref: 16.0975 | reward_npref: 6.6252
[     325 points] regret_avg: 19.8017 | regret_pref: 23.0000 | reward_optimal: 36.4646 | reward_pref: 16.6629 | reward_npref: 6.8886
[     330 points] regret_avg: 19.9106 | regret_pref: 24.0000 | reward_optimal: 36.7421 | reward_pref: 16.8315 | reward_npref: 7.1661
[     335 points] regret_avg: 20.3575 | regret_pref: 24.0000 | reward_optimal: 37.0438 | reward_pref: 16.6863 | reward_npref: 6.7723
[     340 points] regret_avg: 20.5825 | regret_pref: 24.0000 | reward_optimal: 37.3822 | reward_pref: 16.7998 | reward_npref: 6.8838
[     345 points] regret_avg: 20.6946 | regret_pref: 24.0000 | reward_optimal: 37.8235 | reward_pref: 17.1289 | reward_npref: 7.0861
[     350 points] regret_avg: 21.6067 | regret_pref: 24.0000 | reward_optimal: 38.0383 | reward_pref: 16.4316 | reward_npref: 5.6340
[     355 points] regret_avg: 21.9202 | regret_pref: 25.0000 | reward_optimal: 38.7292 | reward_pref: 16.8091 | reward_npref: 6.0866
[     360 points] regret_avg: 22.1559 | regret_pref: 26.0000 | reward_optimal: 39.0405 | reward_pref: 16.8846 | reward_npref: 6.1634
[     365 points] regret_avg: 22.3262 | regret_pref: 26.0000 | reward_optimal: 39.4739 | reward_pref: 17.1477 | reward_npref: 6.3314
[     370 points] regret_avg: 22.9871 | regret_pref: 27.0000 | reward_optimal: 40.6953 | reward_pref: 17.7082 | reward_npref: 6.9633
[     375 points] regret_avg: 23.4206 | regret_pref: 28.0000 | reward_optimal: 41.2889 | reward_pref: 17.8684 | reward_npref: 7.1744
[     380 points] regret_avg: 23.6994 | regret_pref: 28.0000 | reward_optimal: 42.8213 | reward_pref: 19.1219 | reward_npref: 7.6336
[     385 points] regret_avg: 23.9653 | regret_pref: 28.0000 | reward_optimal: 43.5071 | reward_pref: 19.5418 | reward_npref: 7.9551
[     390 points] regret_avg: 24.4781 | regret_pref: 29.0000 | reward_optimal: 43.8719 | reward_pref: 19.3938 | reward_npref: 7.9004
[     395 points] regret_avg: 24.5654 | regret_pref: 29.0000 | reward_optimal: 44.2702 | reward_pref: 19.7048 | reward_npref: 8.1061
[     400 points] regret_avg: 25.0220 | regret_pref: 29.0000 | reward_optimal: 44.5496 | reward_pref: 19.5275 | reward_npref: 7.8130
[     405 points] regret_avg: 25.0220 | regret_pref: 29.0000 | reward_optimal: 46.1753 | reward_pref: 21.1533 | reward_npref: 8.3887
[     410 points] regret_avg: 25.0220 | regret_pref: 29.0000 | reward_optimal: 46.3103 | reward_pref: 21.2883 | reward_npref: 7.4644
[     415 points] regret_avg: 25.1341 | regret_pref: 30.0000 | reward_optimal: 46.5773 | reward_pref: 21.4433 | reward_npref: 7.6845
[     420 points] regret_avg: 25.5233 | regret_pref: 30.0000 | reward_optimal: 46.9007 | reward_pref: 21.3774 | reward_npref: 7.5349
[     425 points] regret_avg: 25.5233 | regret_pref: 30.0000 | reward_optimal: 46.9860 | reward_pref: 21.4627 | reward_npref: 6.7761
[     430 points] regret_avg: 25.6709 | regret_pref: 31.0000 | reward_optimal: 47.2793 | reward_pref: 21.6085 | reward_npref: 7.0210
[     435 points] regret_avg: 26.0406 | regret_pref: 32.0000 | reward_optimal: 47.5649 | reward_pref: 21.5243 | reward_npref: 6.9820
[     440 points] regret_avg: 26.9052 | regret_pref: 33.0000 | reward_optimal: 48.7051 | reward_pref: 21.7999 | reward_npref: 7.8470
[     445 points] regret_avg: 27.4280 | regret_pref: 33.0000 | reward_optimal: 48.8687 | reward_pref: 21.4407 | reward_npref: 6.8069
[     450 points] regret_avg: 27.5721 | regret_pref: 33.0000 | reward_optimal: 49.3048 | reward_pref: 21.7327 | reward_npref: 7.0387
[     455 points] regret_avg: 27.6914 | regret_pref: 33.0000 | reward_optimal: 49.6221 | reward_pref: 21.9307 | reward_npref: 7.1703
[     460 points] regret_avg: 28.4552 | regret_pref: 33.0000 | reward_optimal: 51.0363 | reward_pref: 22.5810 | reward_npref: 7.5317
[     465 points] regret_avg: 28.4552 | regret_pref: 33.0000 | reward_optimal: 51.6126 | reward_pref: 23.1574 | reward_npref: 7.7729
[     470 points] regret_avg: 29.0889 | regret_pref: 33.0000 | reward_optimal: 52.0282 | reward_pref: 22.9393 | reward_npref: 7.5072
[     475 points] regret_avg: 29.5460 | regret_pref: 34.0000 | reward_optimal: 52.4259 | reward_pref: 22.8799 | reward_npref: 7.4980
[     480 points] regret_avg: 29.8359 | regret_pref: 34.0000 | reward_optimal: 52.7926 | reward_pref: 22.9567 | reward_npref: 7.5607
[     485 points] regret_avg: 30.1209 | regret_pref: 34.0000 | reward_optimal: 53.0559 | reward_pref: 22.9350 | reward_npref: 6.9227
[     490 points] regret_avg: 30.9310 | regret_pref: 35.0000 | reward_optimal: 54.2490 | reward_pref: 23.3180 | reward_npref: 7.6905
[     495 points] regret_avg: 31.9262 | regret_pref: 35.0000 | reward_optimal: 54.4859 | reward_pref: 22.5597 | reward_npref: 6.4517
[     500 points] regret_avg: 32.1886 | regret_pref: 36.0000 | reward_optimal: 54.8142 | reward_pref: 22.6256 | reward_npref: 6.7800
[     505 points] regret_avg: 32.9517 | regret_pref: 36.0000 | reward_optimal: 56.8888 | reward_pref: 23.9371 | reward_npref: 7.1592
[     510 points] regret_avg: 33.9987 | regret_pref: 36.0000 | reward_optimal: 59.3200 | reward_pref: 25.3213 | reward_npref: 7.9586
[     515 points] regret_avg: 34.6374 | regret_pref: 37.0000 | reward_optimal: 60.3988 | reward_pref: 25.7614 | reward_npref: 8.9720
[     520 points] regret_avg: 34.8340 | regret_pref: 37.0000 | reward_optimal: 61.2381 | reward_pref: 26.4041 | reward_npref: 9.2671
[     525 points] regret_avg: 35.0371 | regret_pref: 37.0000 | reward_optimal: 61.4417 | reward_pref: 26.4047 | reward_npref: 9.0649
[     530 points] regret_avg: 35.4183 | regret_pref: 37.0000 | reward_optimal: 61.6250 | reward_pref: 26.2067 | reward_npref: 7.7250
[     535 points] regret_avg: 35.6057 | regret_pref: 37.0000 | reward_optimal: 62.1703 | reward_pref: 26.5646 | reward_npref: 7.9270
[     540 points] regret_avg: 36.0455 | regret_pref: 38.0000 | reward_optimal: 63.1264 | reward_pref: 27.0809 | reward_npref: 8.5494
[     545 points] regret_avg: 36.4397 | regret_pref: 38.0000 | reward_optimal: 65.2658 | reward_pref: 28.8261 | reward_npref: 9.3900
[     550 points] regret_avg: 37.0895 | regret_pref: 39.0000 | reward_optimal: 66.8174 | reward_pref: 29.7279 | reward_npref: 10.5677
[     555 points] regret_avg: 37.1630 | regret_pref: 39.0000 | reward_optimal: 68.0393 | reward_pref: 30.8763 | reward_npref: 11.3530
[     560 points] regret_avg: 37.5395 | regret_pref: 39.0000 | reward_optimal: 68.2523 | reward_pref: 30.7128 | reward_npref: 10.4453
[     565 points] regret_avg: 38.2836 | regret_pref: 39.0000 | reward_optimal: 68.4725 | reward_pref: 30.1890 | reward_npref: 9.1684
[     570 points] regret_avg: 39.1574 | regret_pref: 39.0000 | reward_optimal: 68.7119 | reward_pref: 29.5545 | reward_npref: 8.4715
[     575 points] regret_avg: 39.6059 | regret_pref: 39.0000 | reward_optimal: 68.9024 | reward_pref: 29.2965 | reward_npref: 7.5160
[     580 points] regret_avg: 40.3181 | regret_pref: 39.0000 | reward_optimal: 70.8532 | reward_pref: 30.5350 | reward_npref: 8.5212
[     585 points] regret_avg: 40.5411 | regret_pref: 40.0000 | reward_optimal: 71.2246 | reward_pref: 30.6836 | reward_npref: 8.7111
[     590 points] regret_avg: 40.8478 | regret_pref: 40.0000 | reward_optimal: 71.6001 | reward_pref: 30.7523 | reward_npref: 8.7754
[     595 points] regret_avg: 40.8478 | regret_pref: 40.0000 | reward_optimal: 73.9703 | reward_pref: 33.1224 | reward_npref: 9.9857
[     600 points] regret_avg: 41.0208 | regret_pref: 40.0000 | reward_optimal: 74.3582 | reward_pref: 33.3374 | reward_npref: 10.1535
[     605 points] regret_avg: 41.5097 | regret_pref: 40.0000 | reward_optimal: 75.2350 | reward_pref: 33.7253 | reward_npref: 10.5019
[     610 points] regret_avg: 42.0310 | regret_pref: 41.0000 | reward_optimal: 75.9817 | reward_pref: 33.9507 | reward_npref: 11.1156
[     615 points] regret_avg: 42.7122 | regret_pref: 41.0000 | reward_optimal: 77.3833 | reward_pref: 34.6711 | reward_npref: 11.5912
[     620 points] regret_avg: 43.6228 | regret_pref: 42.0000 | reward_optimal: 77.6262 | reward_pref: 34.0034 | reward_npref: 11.6330
[     625 points] regret_avg: 44.4508 | regret_pref: 42.0000 | reward_optimal: 80.3199 | reward_pref: 35.8691 | reward_npref: 12.3737
[     630 points] regret_avg: 44.7672 | regret_pref: 42.0000 | reward_optimal: 82.0523 | reward_pref: 37.2851 | reward_npref: 12.7489
[     635 points] regret_avg: 44.9471 | regret_pref: 42.0000 | reward_optimal: 83.5342 | reward_pref: 38.5871 | reward_npref: 13.0911
[     640 points] regret_avg: 45.0942 | regret_pref: 43.0000 | reward_optimal: 83.8837 | reward_pref: 38.7895 | reward_npref: 13.3085
[     645 points] regret_avg: 45.0942 | regret_pref: 43.0000 | reward_optimal: 84.2606 | reward_pref: 39.1664 | reward_npref: 13.6628
[     650 points] regret_avg: 45.3325 | regret_pref: 43.0000 | reward_optimal: 85.2593 | reward_pref: 39.9269 | reward_npref: 14.0373
[     655 points] regret_avg: 45.9425 | regret_pref: 44.0000 | reward_optimal: 86.1285 | reward_pref: 40.1860 | reward_npref: 14.3641
[     660 points] regret_avg: 46.5040 | regret_pref: 45.0000 | reward_optimal: 87.0525 | reward_pref: 40.5485 | reward_npref: 14.7692
[     665 points] regret_avg: 46.7685 | regret_pref: 46.0000 | reward_optimal: 87.5379 | reward_pref: 40.7693 | reward_npref: 15.1159
[     670 points] regret_avg: 48.2188 | regret_pref: 46.0000 | reward_optimal: 87.6999 | reward_pref: 39.4811 | reward_npref: 13.3430
[     675 points] regret_avg: 49.5856 | regret_pref: 46.0000 | reward_optimal: 87.8264 | reward_pref: 38.2408 | reward_npref: 11.7173
[     680 points] regret_avg: 50.5197 | regret_pref: 46.0000 | reward_optimal: 87.9598 | reward_pref: 37.4401 | reward_npref: 10.5814
[     685 points] regret_avg: 50.5197 | regret_pref: 46.0000 | reward_optimal: 88.2150 | reward_pref: 37.6954 | reward_npref: 10.2350
[     690 points] regret_avg: 51.2655 | regret_pref: 47.0000 | reward_optimal: 88.4347 | reward_pref: 37.1692 | reward_npref: 9.7843
[     695 points] regret_avg: 51.5533 | regret_pref: 47.0000 | reward_optimal: 88.6857 | reward_pref: 37.1323 | reward_npref: 9.4043
[     700 points] regret_avg: 51.5533 | regret_pref: 47.0000 | reward_optimal: 88.8979 | reward_pref: 37.3445 | reward_npref: 8.8035
[     705 points] regret_avg: 52.2928 | regret_pref: 48.0000 | reward_optimal: 89.8959 | reward_pref: 37.6030 | reward_npref: 9.0869
[     710 points] regret_avg: 53.2395 | regret_pref: 48.0000 | reward_optimal: 90.0249 | reward_pref: 36.7855 | reward_npref: 8.0576
[     715 points] regret_avg: 54.6505 | regret_pref: 49.0000 | reward_optimal: 91.8080 | reward_pref: 37.1575 | reward_npref: 8.5646
[     720 points] regret_avg: 55.4334 | regret_pref: 49.0000 | reward_optimal: 91.7918 | reward_pref: 36.3584 | reward_npref: 7.1085
[     725 points] regret_avg: 57.0147 | regret_pref: 50.0000 | reward_optimal: 92.0171 | reward_pref: 35.0023 | reward_npref: 5.9272
[     730 points] regret_avg: 57.4263 | regret_pref: 50.0000 | reward_optimal: 92.1827 | reward_pref: 34.7564 | reward_npref: 4.8718
[     735 points] regret_avg: 58.0477 | regret_pref: 51.0000 | reward_optimal: 93.3263 | reward_pref: 35.2787 | reward_npref: 5.9454
[     740 points] regret_avg: 58.1162 | regret_pref: 51.0000 | reward_optimal: 93.7431 | reward_pref: 35.6269 | reward_npref: 6.1786
[     745 points] regret_avg: 58.4101 | regret_pref: 51.0000 | reward_optimal: 94.0291 | reward_pref: 35.6191 | reward_npref: 6.1076
[     750 points] regret_avg: 58.5976 | regret_pref: 51.0000 | reward_optimal: 94.3210 | reward_pref: 35.7234 | reward_npref: 6.1635
[     755 points] regret_avg: 59.2990 | regret_pref: 51.0000 | reward_optimal: 96.2217 | reward_pref: 36.9227 | reward_npref: 7.2468
[     760 points] regret_avg: 59.4706 | regret_pref: 51.0000 | reward_optimal: 96.4308 | reward_pref: 36.9602 | reward_npref: 7.2772
[     765 points] regret_avg: 60.0460 | regret_pref: 51.0000 | reward_optimal: 96.6434 | reward_pref: 36.5974 | reward_npref: 6.5503
[     770 points] regret_avg: 61.2671 | regret_pref: 52.0000 | reward_optimal: 96.7227 | reward_pref: 35.4556 | reward_npref: 5.4918
[     775 points] regret_avg: 61.2671 | regret_pref: 52.0000 | reward_optimal: 96.9958 | reward_pref: 35.7287 | reward_npref: 5.5517
[     780 points] regret_avg: 61.9591 | regret_pref: 52.0000 | reward_optimal: 98.1570 | reward_pref: 36.1979 | reward_npref: 5.9571
[     785 points] regret_avg: 63.0536 | regret_pref: 52.0000 | reward_optimal: 98.3913 | reward_pref: 35.3377 | reward_npref: 4.9579
[     790 points] regret_avg: 63.4719 | regret_pref: 53.0000 | reward_optimal: 99.0645 | reward_pref: 35.5926 | reward_npref: 5.6311
[     795 points] regret_avg: 65.2412 | regret_pref: 54.0000 | reward_optimal: 102.6418 | reward_pref: 37.4006 | reward_npref: 8.1004
[     800 points] regret_avg: 65.5212 | regret_pref: 54.0000 | reward_optimal: 102.7955 | reward_pref: 37.2743 | reward_npref: 7.3358
[     805 points] regret_avg: 65.7235 | regret_pref: 54.0000 | reward_optimal: 106.0609 | reward_pref: 40.3374 | reward_npref: 10.1968
[     810 points] regret_avg: 65.7235 | regret_pref: 54.0000 | reward_optimal: 109.3701 | reward_pref: 43.6466 | reward_npref: 11.8700
[     815 points] regret_avg: 66.9959 | regret_pref: 54.0000 | reward_optimal: 112.3254 | reward_pref: 45.3296 | reward_npref: 12.3252
[     820 points] regret_avg: 67.5183 | regret_pref: 55.0000 | reward_optimal: 113.1933 | reward_pref: 45.6750 | reward_npref: 12.7865
[     825 points] regret_avg: 67.9391 | regret_pref: 55.0000 | reward_optimal: 115.4809 | reward_pref: 47.5418 | reward_npref: 13.8233
[     830 points] regret_avg: 67.9391 | regret_pref: 55.0000 | reward_optimal: 116.3213 | reward_pref: 48.3822 | reward_npref: 14.1251
[     835 points] regret_avg: 68.1196 | regret_pref: 56.0000 | reward_optimal: 116.6026 | reward_pref: 48.4830 | reward_npref: 14.2515
[     840 points] regret_avg: 68.3247 | regret_pref: 56.0000 | reward_optimal: 118.2786 | reward_pref: 49.9539 | reward_npref: 15.3150
[     845 points] regret_avg: 68.4818 | regret_pref: 56.0000 | reward_optimal: 119.5633 | reward_pref: 51.0815 | reward_npref: 15.9011
[     850 points] regret_avg: 69.7417 | regret_pref: 57.0000 | reward_optimal: 119.6324 | reward_pref: 49.8907 | reward_npref: 15.4707
[     855 points] regret_avg: 70.2087 | regret_pref: 57.0000 | reward_optimal: 119.7389 | reward_pref: 49.5302 | reward_npref: 14.8394
[     860 points] regret_avg: 70.3174 | regret_pref: 57.0000 | reward_optimal: 120.0752 | reward_pref: 49.7578 | reward_npref: 14.9944
[     865 points] regret_avg: 70.3174 | regret_pref: 57.0000 | reward_optimal: 120.1941 | reward_pref: 49.8767 | reward_npref: 14.4869
[     870 points] regret_avg: 71.1869 | regret_pref: 58.0000 | reward_optimal: 120.4512 | reward_pref: 49.2644 | reward_npref: 14.1092
[     875 points] regret_avg: 71.4818 | regret_pref: 58.0000 | reward_optimal: 120.5832 | reward_pref: 49.1014 | reward_npref: 12.3015
[     880 points] regret_avg: 72.4047 | regret_pref: 58.0000 | reward_optimal: 122.2613 | reward_pref: 49.8566 | reward_npref: 12.6746
[     885 points] regret_avg: 72.7182 | regret_pref: 58.0000 | reward_optimal: 122.3675 | reward_pref: 49.6493 | reward_npref: 12.1972
[     890 points] regret_avg: 73.3543 | regret_pref: 58.0000 | reward_optimal: 124.4319 | reward_pref: 51.0775 | reward_npref: 13.2469
[     895 points] regret_avg: 73.9606 | regret_pref: 58.0000 | reward_optimal: 124.3543 | reward_pref: 50.3937 | reward_npref: 9.8048
[     900 points] regret_avg: 75.1689 | regret_pref: 59.0000 | reward_optimal: 124.4445 | reward_pref: 49.2755 | reward_npref: 9.0685
[     905 points] regret_avg: 76.8172 | regret_pref: 60.0000 | reward_optimal: 126.9070 | reward_pref: 50.0898 | reward_npref: 10.3230
[     910 points] regret_avg: 78.4439 | regret_pref: 61.0000 | reward_optimal: 127.0345 | reward_pref: 48.5906 | reward_npref: 9.1108
[     915 points] regret_avg: 78.7679 | regret_pref: 61.0000 | reward_optimal: 128.3687 | reward_pref: 49.6008 | reward_npref: 9.6487
[     920 points] regret_avg: 79.9290 | regret_pref: 61.0000 | reward_optimal: 128.6192 | reward_pref: 48.6903 | reward_npref: 8.6578
[     925 points] regret_avg: 80.1363 | regret_pref: 62.0000 | reward_optimal: 129.1426 | reward_pref: 49.0062 | reward_npref: 9.1507
[     930 points] regret_avg: 80.1363 | regret_pref: 62.0000 | reward_optimal: 130.5604 | reward_pref: 50.4241 | reward_npref: 9.6337
[     935 points] regret_avg: 82.1694 | regret_pref: 63.0000 | reward_optimal: 130.6756 | reward_pref: 48.5062 | reward_npref: 8.2375
[     940 points] regret_avg: 82.5550 | regret_pref: 63.0000 | reward_optimal: 130.9607 | reward_pref: 48.4057 | reward_npref: 7.7153
[     945 points] regret_avg: 84.1030 | regret_pref: 63.0000 | reward_optimal: 133.2889 | reward_pref: 49.1859 | reward_npref: 8.2456
[     950 points] regret_avg: 84.1641 | regret_pref: 63.0000 | reward_optimal: 134.2916 | reward_pref: 50.1275 | reward_npref: 8.8247
[     955 points] regret_avg: 87.5487 | regret_pref: 63.0000 | reward_optimal: 134.2548 | reward_pref: 46.7061 | reward_npref: 4.9105
[     960 points] regret_avg: 87.5487 | regret_pref: 63.0000 | reward_optimal: 134.2581 | reward_pref: 46.7093 | reward_npref: 4.4660
[     965 points] regret_avg: 88.0188 | regret_pref: 63.0000 | reward_optimal: 134.4623 | reward_pref: 46.4436 | reward_npref: 4.0624
[     970 points] regret_avg: 88.1407 | regret_pref: 63.0000 | reward_optimal: 136.4435 | reward_pref: 48.3028 | reward_npref: 5.4353
[     975 points] regret_avg: 89.4663 | regret_pref: 64.0000 | reward_optimal: 138.8406 | reward_pref: 49.3743 | reward_npref: 6.6524
[     980 points] regret_avg: 89.8114 | regret_pref: 64.0000 | reward_optimal: 139.9779 | reward_pref: 50.1665 | reward_npref: 7.3763
