[       5 points] regret_avg: 5.7616 | regret_pref: 0.0000 | reward_optimal: -0.0915 | reward_pref: -5.8531 | reward_npref: -8.1006
[     180 points] regret_avg: 143.4270 | regret_pref: 15.0000 | reward_optimal: 97.5393 | reward_pref: -45.8877 | reward_npref: -47.3316
[     185 points] regret_avg: 144.4656 | regret_pref: 15.0000 | reward_optimal: 97.5810 | reward_pref: -46.8846 | reward_npref: -51.2826
[     190 points] regret_avg: 147.5718 | regret_pref: 16.0000 | reward_optimal: 97.9183 | reward_pref: -49.6535 | reward_npref: -51.3765
[     195 points] regret_avg: 149.6611 | regret_pref: 17.0000 | reward_optimal: 100.9857 | reward_pref: -48.6754 | reward_npref: -48.8606
[     200 points] regret_avg: 150.3659 | regret_pref: 17.0000 | reward_optimal: 102.4606 | reward_pref: -47.9053 | reward_npref: -48.1368
[     205 points] regret_avg: 156.2332 | regret_pref: 18.0000 | reward_optimal: 109.6491 | reward_pref: -46.5842 | reward_npref: -45.3181
[     210 points] regret_avg: 157.3385 | regret_pref: 19.0000 | reward_optimal: 109.8752 | reward_pref: -47.4634 | reward_npref: -45.0920
[     215 points] regret_avg: 160.0747 | regret_pref: 19.0000 | reward_optimal: 124.5091 | reward_pref: -35.5655 | reward_npref: -43.1170
[     220 points] regret_avg: 161.9168 | regret_pref: 19.0000 | reward_optimal: 130.4893 | reward_pref: -31.4276 | reward_npref: -41.4918
[     225 points] regret_avg: 167.4427 | regret_pref: 20.0000 | reward_optimal: 141.6680 | reward_pref: -25.7746 | reward_npref: -30.3130
[     230 points] regret_avg: 167.8431 | regret_pref: 21.0000 | reward_optimal: 142.7369 | reward_pref: -25.1062 | reward_npref: -29.4791
[     235 points] regret_avg: 167.8431 | regret_pref: 21.0000 | reward_optimal: 142.0321 | reward_pref: -25.8110 | reward_npref: -39.1060
[     240 points] regret_avg: 168.8182 | regret_pref: 22.0000 | reward_optimal: 145.3024 | reward_pref: -23.5158 | reward_npref: -36.0321
[     245 points] regret_avg: 168.9209 | regret_pref: 23.0000 | reward_optimal: 145.8794 | reward_pref: -23.0416 | reward_npref: -35.4895
[     250 points] regret_avg: 173.2790 | regret_pref: 23.0000 | reward_optimal: 155.9689 | reward_pref: -17.3101 | reward_npref: -32.7941
[     255 points] regret_avg: 178.6071 | regret_pref: 24.0000 | reward_optimal: 156.5232 | reward_pref: -22.0839 | reward_npref: -34.0532
[     260 points] regret_avg: 182.0607 | regret_pref: 24.0000 | reward_optimal: 156.7274 | reward_pref: -25.3333 | reward_npref: -39.2505
[     265 points] regret_avg: 184.1140 | regret_pref: 24.0000 | reward_optimal: 156.0309 | reward_pref: -28.0831 | reward_npref: -45.8239
[     270 points] regret_avg: 184.1140 | regret_pref: 24.0000 | reward_optimal: 158.7898 | reward_pref: -25.3242 | reward_npref: -45.0106
[     275 points] regret_avg: 191.6460 | regret_pref: 25.0000 | reward_optimal: 158.9062 | reward_pref: -32.7398 | reward_npref: -50.0809
[     280 points] regret_avg: 192.4316 | regret_pref: 26.0000 | reward_optimal: 159.9664 | reward_pref: -32.4652 | reward_npref: -49.7482
[     285 points] regret_avg: 196.3992 | regret_pref: 26.0000 | reward_optimal: 160.0260 | reward_pref: -36.3732 | reward_npref: -60.4489
[     290 points] regret_avg: 205.0613 | regret_pref: 27.0000 | reward_optimal: 159.7350 | reward_pref: -45.3263 | reward_npref: -67.1414
[     295 points] regret_avg: 206.3695 | regret_pref: 28.0000 | reward_optimal: 160.1924 | reward_pref: -46.1770 | reward_npref: -67.3666
[     300 points] regret_avg: 206.8225 | regret_pref: 29.0000 | reward_optimal: 160.5003 | reward_pref: -46.3222 | reward_npref: -67.0588
[     305 points] regret_avg: 210.7766 | regret_pref: 29.0000 | reward_optimal: 176.3376 | reward_pref: -34.4390 | reward_npref: -58.1393
[     310 points] regret_avg: 212.7940 | regret_pref: 29.0000 | reward_optimal: 176.5617 | reward_pref: -36.2323 | reward_npref: -60.1703
[     315 points] regret_avg: 213.3519 | regret_pref: 29.0000 | reward_optimal: 178.8882 | reward_pref: -34.4637 | reward_npref: -59.5587
[     320 points] regret_avg: 214.4534 | regret_pref: 29.0000 | reward_optimal: 179.4325 | reward_pref: -35.0209 | reward_npref: -63.3777
[     325 points] regret_avg: 215.3073 | regret_pref: 30.0000 | reward_optimal: 184.1197 | reward_pref: -31.1877 | reward_npref: -59.2605
[     330 points] regret_avg: 215.3073 | regret_pref: 30.0000 | reward_optimal: 184.4193 | reward_pref: -30.8881 | reward_npref: -65.3265
[     335 points] regret_avg: 219.2943 | regret_pref: 30.0000 | reward_optimal: 195.1345 | reward_pref: -24.1598 | reward_npref: -63.1526
[     340 points] regret_avg: 219.6199 | regret_pref: 31.0000 | reward_optimal: 195.7434 | reward_pref: -23.8765 | reward_npref: -62.8176
[     345 points] regret_avg: 229.4276 | regret_pref: 32.0000 | reward_optimal: 206.8847 | reward_pref: -22.5429 | reward_npref: -51.6763
[     350 points] regret_avg: 231.2853 | regret_pref: 32.0000 | reward_optimal: 210.3843 | reward_pref: -20.9010 | reward_npref: -50.5015
[     355 points] regret_avg: 233.4365 | regret_pref: 32.0000 | reward_optimal: 210.7173 | reward_pref: -22.7192 | reward_npref: -57.0286
[     360 points] regret_avg: 235.3768 | regret_pref: 33.0000 | reward_optimal: 211.5162 | reward_pref: -23.8606 | reward_npref: -57.9636
[     365 points] regret_avg: 239.2173 | regret_pref: 33.0000 | reward_optimal: 211.7370 | reward_pref: -27.4803 | reward_npref: -61.9565
[     370 points] regret_avg: 242.3661 | regret_pref: 33.0000 | reward_optimal: 218.1816 | reward_pref: -24.1845 | reward_npref: -60.7650
[     375 points] regret_avg: 243.0450 | regret_pref: 33.0000 | reward_optimal: 221.9330 | reward_pref: -21.1120 | reward_npref: -58.1410
[     380 points] regret_avg: 253.5168 | regret_pref: 33.0000 | reward_optimal: 234.2599 | reward_pref: -19.2569 | reward_npref: -56.7345
[     385 points] regret_avg: 262.3852 | regret_pref: 34.0000 | reward_optimal: 233.9579 | reward_pref: -28.4273 | reward_npref: -61.6738
[     390 points] regret_avg: 268.6646 | regret_pref: 35.0000 | reward_optimal: 244.1655 | reward_pref: -24.4991 | reward_npref: -56.5042
[     395 points] regret_avg: 268.6646 | regret_pref: 35.0000 | reward_optimal: 253.2951 | reward_pref: -15.3695 | reward_npref: -55.0859
[     400 points] regret_avg: 269.2277 | regret_pref: 36.0000 | reward_optimal: 253.5029 | reward_pref: -15.7248 | reward_npref: -55.3652
[     405 points] regret_avg: 270.2511 | regret_pref: 36.0000 | reward_optimal: 261.7982 | reward_pref: -8.4530 | reward_npref: -50.1317
[     410 points] regret_avg: 271.0486 | regret_pref: 36.0000 | reward_optimal: 262.3913 | reward_pref: -8.6573 | reward_npref: -50.3801
[     415 points] regret_avg: 277.0091 | regret_pref: 37.0000 | reward_optimal: 262.5892 | reward_pref: -14.4199 | reward_npref: -54.6689
[     420 points] regret_avg: 278.4396 | regret_pref: 38.0000 | reward_optimal: 263.5389 | reward_pref: -14.9006 | reward_npref: -54.5921
[     425 points] regret_avg: 285.1766 | regret_pref: 39.0000 | reward_optimal: 263.3127 | reward_pref: -21.8638 | reward_npref: -59.1830
[     430 points] regret_avg: 286.1656 | regret_pref: 39.0000 | reward_optimal: 279.1524 | reward_pref: -7.0132 | reward_npref: -56.1751
[     435 points] regret_avg: 289.5678 | regret_pref: 40.0000 | reward_optimal: 283.6322 | reward_pref: -5.9356 | reward_npref: -52.2429
[     440 points] regret_avg: 294.9828 | regret_pref: 40.0000 | reward_optimal: 294.5803 | reward_pref: -0.4025 | reward_npref: -48.0471
[     445 points] regret_avg: 294.9828 | regret_pref: 40.0000 | reward_optimal: 294.9208 | reward_pref: -0.0620 | reward_npref: -49.2042
[     450 points] regret_avg: 295.3905 | regret_pref: 41.0000 | reward_optimal: 298.2934 | reward_pref: 2.9029 | reward_npref: -46.0357
[     455 points] regret_avg: 295.8910 | regret_pref: 41.0000 | reward_optimal: 302.3833 | reward_pref: 6.4923 | reward_npref: -45.2089
[     460 points] regret_avg: 301.7662 | regret_pref: 41.0000 | reward_optimal: 318.0750 | reward_pref: 16.3088 | reward_npref: -36.3708
[     465 points] regret_avg: 306.2229 | regret_pref: 41.0000 | reward_optimal: 318.0977 | reward_pref: 11.8748 | reward_npref: -45.3822
[     470 points] regret_avg: 311.9514 | regret_pref: 42.0000 | reward_optimal: 329.6780 | reward_pref: 17.7266 | reward_npref: -38.1045
[     475 points] regret_avg: 313.7381 | regret_pref: 42.0000 | reward_optimal: 329.7167 | reward_pref: 15.9786 | reward_npref: -41.2664
[     480 points] regret_avg: 314.2235 | regret_pref: 42.0000 | reward_optimal: 330.6581 | reward_pref: 16.4346 | reward_npref: -40.8813
[     485 points] regret_avg: 317.6744 | regret_pref: 43.0000 | reward_optimal: 330.9864 | reward_pref: 13.3120 | reward_npref: -41.3198
[     490 points] regret_avg: 319.0362 | regret_pref: 43.0000 | reward_optimal: 334.7165 | reward_pref: 15.6803 | reward_npref: -40.2452
[     495 points] regret_avg: 323.1279 | regret_pref: 44.0000 | reward_optimal: 340.8993 | reward_pref: 17.7714 | reward_npref: -36.7004
[     500 points] regret_avg: 325.3528 | regret_pref: 44.0000 | reward_optimal: 345.4608 | reward_pref: 20.1080 | reward_npref: -34.9045
[     505 points] regret_avg: 328.9727 | regret_pref: 45.0000 | reward_optimal: 345.5868 | reward_pref: 16.6141 | reward_npref: -36.5794
[     510 points] regret_avg: 330.1462 | regret_pref: 46.0000 | reward_optimal: 347.2907 | reward_pref: 17.1446 | reward_npref: -35.2779
[     515 points] regret_avg: 331.9037 | regret_pref: 46.0000 | reward_optimal: 361.4101 | reward_pref: 29.5064 | reward_npref: -33.9579
[     520 points] regret_avg: 343.6553 | regret_pref: 47.0000 | reward_optimal: 360.6866 | reward_pref: 17.0313 | reward_npref: -42.5808
[     525 points] regret_avg: 343.6553 | regret_pref: 47.0000 | reward_optimal: 360.1781 | reward_pref: 16.5228 | reward_npref: -55.0921
[     530 points] regret_avg: 346.0336 | regret_pref: 48.0000 | reward_optimal: 363.8909 | reward_pref: 17.8572 | reward_npref: -51.8272
[     535 points] regret_avg: 346.9635 | regret_pref: 48.0000 | reward_optimal: 364.8750 | reward_pref: 17.9115 | reward_npref: -51.8033
[     540 points] regret_avg: 353.4230 | regret_pref: 49.0000 | reward_optimal: 373.6867 | reward_pref: 20.2638 | reward_npref: -44.6271
[     545 points] regret_avg: 359.0548 | regret_pref: 50.0000 | reward_optimal: 374.0577 | reward_pref: 15.0029 | reward_npref: -48.0778
[     550 points] regret_avg: 359.6245 | regret_pref: 50.0000 | reward_optimal: 375.1558 | reward_pref: 15.5313 | reward_npref: -47.7382
[     555 points] regret_avg: 361.0870 | regret_pref: 50.0000 | reward_optimal: 375.3552 | reward_pref: 14.2682 | reward_npref: -50.1105
[     560 points] regret_avg: 366.2197 | regret_pref: 51.0000 | reward_optimal: 389.1186 | reward_pref: 22.8989 | reward_npref: -37.2035
[     565 points] regret_avg: 367.8373 | regret_pref: 51.0000 | reward_optimal: 395.7093 | reward_pref: 27.8720 | reward_npref: -33.4337
[     570 points] regret_avg: 368.6521 | regret_pref: 51.0000 | reward_optimal: 396.0170 | reward_pref: 27.3649 | reward_npref: -39.1044
[     575 points] regret_avg: 370.1859 | regret_pref: 51.0000 | reward_optimal: 408.3648 | reward_pref: 38.1790 | reward_npref: -37.7521
[     580 points] regret_avg: 384.2316 | regret_pref: 52.0000 | reward_optimal: 407.8663 | reward_pref: 23.6348 | reward_npref: -49.5585
[     585 points] regret_avg: 393.1398 | regret_pref: 53.0000 | reward_optimal: 419.9477 | reward_pref: 26.8078 | reward_npref: -37.4772
[     590 points] regret_avg: 401.6476 | regret_pref: 54.0000 | reward_optimal: 429.6737 | reward_pref: 28.0260 | reward_npref: -27.7512
[     595 points] regret_avg: 405.4126 | regret_pref: 54.0000 | reward_optimal: 430.0331 | reward_pref: 24.6205 | reward_npref: -33.7288
[     600 points] regret_avg: 413.9893 | regret_pref: 55.0000 | reward_optimal: 439.7626 | reward_pref: 25.7733 | reward_npref: -27.6146
[     605 points] regret_avg: 418.5781 | regret_pref: 56.0000 | reward_optimal: 445.7642 | reward_pref: 27.1860 | reward_npref: -23.4456
[     610 points] regret_avg: 423.2309 | regret_pref: 56.0000 | reward_optimal: 460.7049 | reward_pref: 37.4740 | reward_npref: -21.4118
[     615 points] regret_avg: 424.2658 | regret_pref: 56.0000 | reward_optimal: 461.2485 | reward_pref: 36.9827 | reward_npref: -23.0634
[     620 points] regret_avg: 429.8465 | regret_pref: 56.0000 | reward_optimal: 461.1223 | reward_pref: 31.2758 | reward_npref: -34.5891
[     625 points] regret_avg: 432.8466 | regret_pref: 56.0000 | reward_optimal: 469.2620 | reward_pref: 36.4155 | reward_npref: -33.1486
[     630 points] regret_avg: 440.6018 | regret_pref: 57.0000 | reward_optimal: 469.4528 | reward_pref: 28.8510 | reward_npref: -35.1411
[     635 points] regret_avg: 444.0942 | regret_pref: 57.0000 | reward_optimal: 480.7340 | reward_pref: 36.6398 | reward_npref: -33.3925
[     640 points] regret_avg: 444.3087 | regret_pref: 58.0000 | reward_optimal: 481.6342 | reward_pref: 37.3256 | reward_npref: -32.5434
[     645 points] regret_avg: 444.7768 | regret_pref: 59.0000 | reward_optimal: 482.3258 | reward_pref: 37.5490 | reward_npref: -31.9336
[     650 points] regret_avg: 448.3929 | regret_pref: 60.0000 | reward_optimal: 482.4379 | reward_pref: 34.0449 | reward_npref: -34.9810
[     655 points] regret_avg: 453.0885 | regret_pref: 61.0000 | reward_optimal: 490.9389 | reward_pref: 37.8505 | reward_npref: -27.0051
[     660 points] regret_avg: 454.9523 | regret_pref: 62.0000 | reward_optimal: 493.6754 | reward_pref: 38.7231 | reward_npref: -24.5973
[     665 points] regret_avg: 467.2881 | regret_pref: 63.0000 | reward_optimal: 493.1078 | reward_pref: 25.8197 | reward_npref: -33.7965
[     670 points] regret_avg: 468.0309 | regret_pref: 64.0000 | reward_optimal: 494.5651 | reward_pref: 26.5342 | reward_npref: -33.0055
[     675 points] regret_avg: 468.1965 | regret_pref: 64.0000 | reward_optimal: 497.2769 | reward_pref: 29.0804 | reward_npref: -31.1181
[     680 points] regret_avg: 468.8566 | regret_pref: 64.0000 | reward_optimal: 500.9327 | reward_pref: 32.0760 | reward_npref: -29.6083
[     685 points] regret_avg: 468.8566 | regret_pref: 64.0000 | reward_optimal: 505.7732 | reward_pref: 36.9166 | reward_npref: -25.9492
[     690 points] regret_avg: 471.3804 | regret_pref: 65.0000 | reward_optimal: 506.1055 | reward_pref: 34.7250 | reward_npref: -26.8946
[     695 points] regret_avg: 473.0290 | regret_pref: 66.0000 | reward_optimal: 510.6415 | reward_pref: 37.6126 | reward_npref: -22.9111
[     700 points] regret_avg: 478.7480 | regret_pref: 67.0000 | reward_optimal: 517.9357 | reward_pref: 39.1876 | reward_npref: -19.6454
[     705 points] regret_avg: 479.9958 | regret_pref: 68.0000 | reward_optimal: 518.4540 | reward_pref: 38.4581 | reward_npref: -19.7828
[     710 points] regret_avg: 483.0681 | regret_pref: 69.0000 | reward_optimal: 518.8857 | reward_pref: 35.8176 | reward_npref: -22.2417
[     715 points] regret_avg: 484.7375 | regret_pref: 69.0000 | reward_optimal: 519.0482 | reward_pref: 34.3107 | reward_npref: -25.4712
[     720 points] regret_avg: 485.6625 | regret_pref: 70.0000 | reward_optimal: 520.0792 | reward_pref: 34.4167 | reward_npref: -25.2171
[     725 points] regret_avg: 486.1350 | regret_pref: 71.0000 | reward_optimal: 521.3376 | reward_pref: 35.2026 | reward_npref: -24.3026
[     730 points] regret_avg: 488.0494 | regret_pref: 71.0000 | reward_optimal: 521.9111 | reward_pref: 33.8617 | reward_npref: -26.3924
[     735 points] regret_avg: 489.8236 | regret_pref: 71.0000 | reward_optimal: 522.8060 | reward_pref: 32.9824 | reward_npref: -28.7842
[     740 points] regret_avg: 492.0448 | regret_pref: 71.0000 | reward_optimal: 523.1487 | reward_pref: 31.1039 | reward_npref: -35.5268
[     745 points] regret_avg: 499.7719 | regret_pref: 71.0000 | reward_optimal: 522.8378 | reward_pref: 23.0659 | reward_npref: -48.4361
[     750 points] regret_avg: 500.2492 | regret_pref: 71.0000 | reward_optimal: 523.6893 | reward_pref: 23.4401 | reward_npref: -48.8924
[     755 points] regret_avg: 502.9238 | regret_pref: 72.0000 | reward_optimal: 524.6838 | reward_pref: 21.7600 | reward_npref: -49.6290
[     760 points] regret_avg: 507.3744 | regret_pref: 73.0000 | reward_optimal: 530.2401 | reward_pref: 22.8657 | reward_npref: -46.1054
[     765 points] regret_avg: 509.1420 | regret_pref: 73.0000 | reward_optimal: 544.4671 | reward_pref: 35.3252 | reward_npref: -44.5755
[     770 points] regret_avg: 509.1420 | regret_pref: 73.0000 | reward_optimal: 545.1451 | reward_pref: 36.0031 | reward_npref: -45.1498
[     775 points] regret_avg: 509.1420 | regret_pref: 73.0000 | reward_optimal: 545.3331 | reward_pref: 36.1912 | reward_npref: -46.6530
[     780 points] regret_avg: 512.8132 | regret_pref: 74.0000 | reward_optimal: 545.9183 | reward_pref: 33.1050 | reward_npref: -49.2429
[     785 points] regret_avg: 514.6604 | regret_pref: 74.0000 | reward_optimal: 546.7153 | reward_pref: 32.0550 | reward_npref: -50.5800
[     790 points] regret_avg: 516.0030 | regret_pref: 74.0000 | reward_optimal: 547.2380 | reward_pref: 31.2350 | reward_npref: -51.9716
[     795 points] regret_avg: 518.6827 | regret_pref: 74.0000 | reward_optimal: 547.7253 | reward_pref: 29.0425 | reward_npref: -54.3403
[     800 points] regret_avg: 522.3447 | regret_pref: 74.0000 | reward_optimal: 547.5985 | reward_pref: 25.2538 | reward_npref: -64.4822
[     805 points] regret_avg: 523.8429 | regret_pref: 74.0000 | reward_optimal: 550.2213 | reward_pref: 26.3785 | reward_npref: -63.5956
[     810 points] regret_avg: 523.8429 | regret_pref: 74.0000 | reward_optimal: 550.7190 | reward_pref: 26.8762 | reward_npref: -67.4785
[     815 points] regret_avg: 524.8500 | regret_pref: 75.0000 | reward_optimal: 553.5264 | reward_pref: 28.6764 | reward_npref: -65.3457
[     820 points] regret_avg: 526.5722 | regret_pref: 75.0000 | reward_optimal: 567.3942 | reward_pref: 40.8219 | reward_npref: -55.7795
[     825 points] regret_avg: 531.7023 | regret_pref: 75.0000 | reward_optimal: 577.8395 | reward_pref: 46.1371 | reward_npref: -52.3371
[     830 points] regret_avg: 535.4175 | regret_pref: 75.0000 | reward_optimal: 578.1105 | reward_pref: 42.6930 | reward_npref: -57.3673
[     835 points] regret_avg: 536.7145 | regret_pref: 76.0000 | reward_optimal: 582.4046 | reward_pref: 45.6901 | reward_npref: -53.3340
[     840 points] regret_avg: 539.2750 | regret_pref: 77.0000 | reward_optimal: 586.0349 | reward_pref: 46.7599 | reward_npref: -50.7782
[     845 points] regret_avg: 546.6544 | regret_pref: 77.0000 | reward_optimal: 586.0833 | reward_pref: 39.4289 | reward_npref: -60.3503
[     850 points] regret_avg: 547.2398 | regret_pref: 78.0000 | reward_optimal: 587.2257 | reward_pref: 39.9859 | reward_npref: -59.3424
[     855 points] regret_avg: 554.7698 | regret_pref: 79.0000 | reward_optimal: 596.4164 | reward_pref: 41.6466 | reward_npref: -52.9715
[     860 points] regret_avg: 560.7136 | regret_pref: 79.0000 | reward_optimal: 596.9602 | reward_pref: 36.2466 | reward_npref: -58.9324
[     865 points] regret_avg: 565.0823 | regret_pref: 80.0000 | reward_optimal: 597.3367 | reward_pref: 32.2544 | reward_npref: -59.5135
[     870 points] regret_avg: 568.1062 | regret_pref: 81.0000 | reward_optimal: 597.1337 | reward_pref: 29.0275 | reward_npref: -61.8397
[     875 points] regret_avg: 579.7577 | regret_pref: 82.0000 | reward_optimal: 614.2705 | reward_pref: 34.5127 | reward_npref: -53.2038
[     880 points] regret_avg: 582.1133 | regret_pref: 82.0000 | reward_optimal: 614.9955 | reward_pref: 32.8822 | reward_npref: -56.6745
[     885 points] regret_avg: 582.4990 | regret_pref: 83.0000 | reward_optimal: 615.8867 | reward_pref: 33.3877 | reward_npref: -56.1382
[     890 points] regret_avg: 582.4990 | regret_pref: 83.0000 | reward_optimal: 615.1810 | reward_pref: 32.6820 | reward_npref: -69.6624
[     895 points] regret_avg: 582.4990 | regret_pref: 83.0000 | reward_optimal: 616.2294 | reward_pref: 33.7304 | reward_npref: -69.3346
[     900 points] regret_avg: 583.1318 | regret_pref: 83.0000 | reward_optimal: 626.4676 | reward_pref: 43.3358 | reward_npref: -62.8821
[     905 points] regret_avg: 586.3211 | regret_pref: 83.0000 | reward_optimal: 626.6837 | reward_pref: 40.3626 | reward_npref: -70.3529
[     910 points] regret_avg: 588.1974 | regret_pref: 83.0000 | reward_optimal: 634.2887 | reward_pref: 46.0912 | reward_npref: -69.0652
[     915 points] regret_avg: 597.4221 | regret_pref: 83.0000 | reward_optimal: 634.3599 | reward_pref: 36.9378 | reward_npref: -82.4427
[     920 points] regret_avg: 599.4795 | regret_pref: 83.0000 | reward_optimal: 635.2083 | reward_pref: 35.7288 | reward_npref: -83.9612
[     925 points] regret_avg: 602.3550 | regret_pref: 84.0000 | reward_optimal: 635.9755 | reward_pref: 33.6205 | reward_npref: -85.7201
[     930 points] regret_avg: 603.6417 | regret_pref: 85.0000 | reward_optimal: 636.6501 | reward_pref: 33.0084 | reward_npref: -85.7618
[     935 points] regret_avg: 607.2980 | regret_pref: 86.0000 | reward_optimal: 637.0529 | reward_pref: 29.7550 | reward_npref: -88.2658
[     940 points] regret_avg: 620.4511 | regret_pref: 87.0000 | reward_optimal: 656.3004 | reward_pref: 35.8493 | reward_npref: -77.4057
[     945 points] regret_avg: 620.4511 | regret_pref: 87.0000 | reward_optimal: 661.8107 | reward_pref: 41.3596 | reward_npref: -72.9004
[     950 points] regret_avg: 621.2964 | regret_pref: 88.0000 | reward_optimal: 662.7336 | reward_pref: 41.4371 | reward_npref: -72.6678
[     955 points] regret_avg: 622.8124 | regret_pref: 88.0000 | reward_optimal: 674.9836 | reward_pref: 52.1712 | reward_npref: -68.6750
[     960 points] regret_avg: 627.2406 | regret_pref: 88.0000 | reward_optimal: 685.2852 | reward_pref: 58.0445 | reward_npref: -63.4271
[     965 points] regret_avg: 630.7483 | regret_pref: 88.0000 | reward_optimal: 704.0719 | reward_pref: 73.3236 | reward_npref: -55.1422
[     970 points] regret_avg: 636.2839 | regret_pref: 89.0000 | reward_optimal: 704.9088 | reward_pref: 68.6250 | reward_npref: -59.5381
[     975 points] regret_avg: 639.8039 | regret_pref: 90.0000 | reward_optimal: 711.3329 | reward_pref: 71.5290 | reward_npref: -55.4737
[     980 points] regret_avg: 639.8039 | regret_pref: 90.0000 | reward_optimal: 716.5366 | reward_pref: 76.7327 | reward_npref: -53.3633
