[       5 points] regret_avg: 0.3354 | regret_pref: 0.0000 | reward_optimal: 0.4739 | reward_pref: 0.1385 | reward_npref: -0.0249
[     240 points] regret_avg: 13.5820 | regret_pref: 15.0000 | reward_optimal: 25.1544 | reward_pref: 11.5725 | reward_npref: 4.4126
[     245 points] regret_avg: 14.0899 | regret_pref: 16.0000 | reward_optimal: 25.6548 | reward_pref: 11.5649 | reward_npref: 4.4369
[     250 points] regret_avg: 14.3655 | regret_pref: 17.0000 | reward_optimal: 26.0963 | reward_pref: 11.7308 | reward_npref: 4.6087
[     255 points] regret_avg: 14.5216 | regret_pref: 17.0000 | reward_optimal: 27.3970 | reward_pref: 12.8754 | reward_npref: 5.5983
[     260 points] regret_avg: 15.4978 | regret_pref: 17.0000 | reward_optimal: 27.7159 | reward_pref: 12.2181 | reward_npref: 4.3762
[     265 points] regret_avg: 15.6906 | regret_pref: 17.0000 | reward_optimal: 28.0885 | reward_pref: 12.3979 | reward_npref: 4.5098
[     270 points] regret_avg: 15.6906 | regret_pref: 17.0000 | reward_optimal: 28.9811 | reward_pref: 13.2905 | reward_npref: 4.8647
[     275 points] regret_avg: 15.6906 | regret_pref: 17.0000 | reward_optimal: 29.5392 | reward_pref: 13.8486 | reward_npref: 5.2355
[     280 points] regret_avg: 16.1836 | regret_pref: 18.0000 | reward_optimal: 29.8884 | reward_pref: 13.7048 | reward_npref: 5.1748
[     285 points] regret_avg: 16.4580 | regret_pref: 19.0000 | reward_optimal: 30.2875 | reward_pref: 13.8295 | reward_npref: 5.3102
[     290 points] regret_avg: 16.9018 | regret_pref: 20.0000 | reward_optimal: 31.0396 | reward_pref: 14.1378 | reward_npref: 5.7619
[     295 points] regret_avg: 16.9018 | regret_pref: 20.0000 | reward_optimal: 32.5465 | reward_pref: 15.6447 | reward_npref: 6.4550
[     300 points] regret_avg: 17.1563 | regret_pref: 20.0000 | reward_optimal: 32.8987 | reward_pref: 15.7424 | reward_npref: 5.8065
[     305 points] regret_avg: 17.5722 | regret_pref: 20.0000 | reward_optimal: 33.9153 | reward_pref: 16.3430 | reward_npref: 6.1191
[     310 points] regret_avg: 18.0959 | regret_pref: 20.0000 | reward_optimal: 34.0999 | reward_pref: 16.0040 | reward_npref: 5.5865
[     315 points] regret_avg: 18.8069 | regret_pref: 21.0000 | reward_optimal: 35.3092 | reward_pref: 16.5023 | reward_npref: 6.1517
[     320 points] regret_avg: 19.2293 | regret_pref: 22.0000 | reward_optimal: 35.7272 | reward_pref: 16.4979 | reward_npref: 6.2249
[     325 points] regret_avg: 19.4014 | regret_pref: 22.0000 | reward_optimal: 36.4646 | reward_pref: 17.0632 | reward_npref: 6.4883
[     330 points] regret_avg: 19.5103 | regret_pref: 23.0000 | reward_optimal: 36.7421 | reward_pref: 17.2318 | reward_npref: 6.7658
[     335 points] regret_avg: 19.9572 | regret_pref: 23.0000 | reward_optimal: 37.0438 | reward_pref: 17.0866 | reward_npref: 6.3720
[     340 points] regret_avg: 20.1842 | regret_pref: 24.0000 | reward_optimal: 37.3822 | reward_pref: 17.1980 | reward_npref: 6.4855
[     345 points] regret_avg: 20.4231 | regret_pref: 25.0000 | reward_optimal: 37.8235 | reward_pref: 17.4004 | reward_npref: 6.8146
[     350 points] regret_avg: 21.3352 | regret_pref: 25.0000 | reward_optimal: 38.0383 | reward_pref: 16.7031 | reward_npref: 5.3626
[     355 points] regret_avg: 21.5735 | regret_pref: 25.0000 | reward_optimal: 38.7292 | reward_pref: 17.1557 | reward_npref: 5.7400
[     360 points] regret_avg: 21.8093 | regret_pref: 26.0000 | reward_optimal: 39.0405 | reward_pref: 17.2312 | reward_npref: 5.8167
[     365 points] regret_avg: 22.0746 | regret_pref: 27.0000 | reward_optimal: 39.4739 | reward_pref: 17.3993 | reward_npref: 6.0799
[     370 points] regret_avg: 22.7356 | regret_pref: 28.0000 | reward_optimal: 40.6953 | reward_pref: 17.9598 | reward_npref: 6.7118
[     375 points] regret_avg: 23.1181 | regret_pref: 28.0000 | reward_optimal: 41.2889 | reward_pref: 18.1709 | reward_npref: 6.8719
[     380 points] regret_avg: 23.3969 | regret_pref: 28.0000 | reward_optimal: 42.8213 | reward_pref: 19.4244 | reward_npref: 7.3311
[     385 points] regret_avg: 23.7612 | regret_pref: 29.0000 | reward_optimal: 43.5071 | reward_pref: 19.7459 | reward_npref: 7.7510
[     390 points] regret_avg: 24.1807 | regret_pref: 29.0000 | reward_optimal: 43.8719 | reward_pref: 19.6912 | reward_npref: 7.6030
[     395 points] regret_avg: 24.2680 | regret_pref: 29.0000 | reward_optimal: 44.2702 | reward_pref: 20.0022 | reward_npref: 7.8087
[     400 points] regret_avg: 24.7246 | regret_pref: 29.0000 | reward_optimal: 44.5496 | reward_pref: 19.8249 | reward_npref: 7.5156
[     405 points] regret_avg: 24.7246 | regret_pref: 29.0000 | reward_optimal: 46.1753 | reward_pref: 21.4507 | reward_npref: 8.0913
[     410 points] regret_avg: 24.7246 | regret_pref: 29.0000 | reward_optimal: 46.3103 | reward_pref: 21.5857 | reward_npref: 7.1670
[     415 points] regret_avg: 24.7715 | regret_pref: 29.0000 | reward_optimal: 46.5773 | reward_pref: 21.8058 | reward_npref: 7.3220
[     420 points] regret_avg: 25.1608 | regret_pref: 29.0000 | reward_optimal: 46.9007 | reward_pref: 21.7399 | reward_npref: 7.1724
[     425 points] regret_avg: 25.1608 | regret_pref: 29.0000 | reward_optimal: 46.9860 | reward_pref: 21.8252 | reward_npref: 6.4136
[     430 points] regret_avg: 25.2093 | regret_pref: 29.0000 | reward_optimal: 47.2793 | reward_pref: 22.0701 | reward_npref: 6.5594
[     435 points] regret_avg: 25.5790 | regret_pref: 30.0000 | reward_optimal: 47.5649 | reward_pref: 21.9859 | reward_npref: 6.5204
[     440 points] regret_avg: 25.8542 | regret_pref: 30.0000 | reward_optimal: 48.7051 | reward_pref: 22.8509 | reward_npref: 6.7961
[     445 points] regret_avg: 26.3771 | regret_pref: 30.0000 | reward_optimal: 48.8687 | reward_pref: 22.4916 | reward_npref: 5.7560
[     450 points] regret_avg: 26.5814 | regret_pref: 31.0000 | reward_optimal: 49.3048 | reward_pref: 22.7234 | reward_npref: 6.0480
[     455 points] regret_avg: 26.7008 | regret_pref: 31.0000 | reward_optimal: 49.6221 | reward_pref: 22.9213 | reward_npref: 6.1797
[     460 points] regret_avg: 27.4646 | regret_pref: 31.0000 | reward_optimal: 51.0363 | reward_pref: 23.5717 | reward_npref: 6.5410
[     465 points] regret_avg: 27.4646 | regret_pref: 31.0000 | reward_optimal: 51.6126 | reward_pref: 24.1480 | reward_npref: 6.7822
[     470 points] regret_avg: 28.0982 | regret_pref: 31.0000 | reward_optimal: 52.0282 | reward_pref: 23.9299 | reward_npref: 6.5165
[     475 points] regret_avg: 28.5553 | regret_pref: 32.0000 | reward_optimal: 52.4259 | reward_pref: 23.8705 | reward_npref: 6.5074
[     480 points] regret_avg: 28.8452 | regret_pref: 32.0000 | reward_optimal: 52.7926 | reward_pref: 23.9473 | reward_npref: 6.5701
[     485 points] regret_avg: 29.1303 | regret_pref: 32.0000 | reward_optimal: 53.0559 | reward_pref: 23.9256 | reward_npref: 5.9321
[     490 points] regret_avg: 29.5556 | regret_pref: 32.0000 | reward_optimal: 54.2490 | reward_pref: 24.6934 | reward_npref: 6.3151
[     495 points] regret_avg: 30.5509 | regret_pref: 32.0000 | reward_optimal: 54.4859 | reward_pref: 23.9350 | reward_npref: 5.0764
[     500 points] regret_avg: 30.8133 | regret_pref: 33.0000 | reward_optimal: 54.8142 | reward_pref: 24.0009 | reward_npref: 5.4047
[     505 points] regret_avg: 31.5764 | regret_pref: 33.0000 | reward_optimal: 56.8888 | reward_pref: 25.3124 | reward_npref: 5.7839
[     510 points] regret_avg: 32.6234 | regret_pref: 33.0000 | reward_optimal: 59.3200 | reward_pref: 26.6966 | reward_npref: 6.5833
[     515 points] regret_avg: 33.2621 | regret_pref: 34.0000 | reward_optimal: 60.3988 | reward_pref: 27.1367 | reward_npref: 7.5967
[     520 points] regret_avg: 33.4587 | regret_pref: 34.0000 | reward_optimal: 61.2381 | reward_pref: 27.7794 | reward_npref: 7.8918
[     525 points] regret_avg: 33.6618 | regret_pref: 34.0000 | reward_optimal: 61.4417 | reward_pref: 27.7800 | reward_npref: 7.6896
[     530 points] regret_avg: 34.0430 | regret_pref: 34.0000 | reward_optimal: 61.6250 | reward_pref: 27.5820 | reward_npref: 6.3497
[     535 points] regret_avg: 34.2304 | regret_pref: 34.0000 | reward_optimal: 62.1703 | reward_pref: 27.9399 | reward_npref: 6.5517
[     540 points] regret_avg: 34.6702 | regret_pref: 35.0000 | reward_optimal: 63.1264 | reward_pref: 28.4562 | reward_npref: 7.1741
[     545 points] regret_avg: 35.0644 | regret_pref: 35.0000 | reward_optimal: 65.2658 | reward_pref: 30.2014 | reward_npref: 8.0147
[     550 points] regret_avg: 35.7142 | regret_pref: 36.0000 | reward_optimal: 66.8174 | reward_pref: 31.1032 | reward_npref: 9.1924
[     555 points] regret_avg: 35.7877 | regret_pref: 36.0000 | reward_optimal: 68.0393 | reward_pref: 32.2516 | reward_npref: 9.9777
[     560 points] regret_avg: 36.1642 | regret_pref: 36.0000 | reward_optimal: 68.2523 | reward_pref: 32.0881 | reward_npref: 9.0700
[     565 points] regret_avg: 36.9083 | regret_pref: 36.0000 | reward_optimal: 68.4725 | reward_pref: 31.5643 | reward_npref: 7.7931
[     570 points] regret_avg: 37.7821 | regret_pref: 36.0000 | reward_optimal: 68.7119 | reward_pref: 30.9298 | reward_npref: 7.0962
[     575 points] regret_avg: 38.2306 | regret_pref: 36.0000 | reward_optimal: 68.9024 | reward_pref: 30.6718 | reward_npref: 6.1407
[     580 points] regret_avg: 38.9428 | regret_pref: 36.0000 | reward_optimal: 70.8532 | reward_pref: 31.9103 | reward_npref: 7.1459
[     585 points] regret_avg: 39.1243 | regret_pref: 36.0000 | reward_optimal: 71.2246 | reward_pref: 32.1003 | reward_npref: 7.2944
[     590 points] regret_avg: 39.4356 | regret_pref: 37.0000 | reward_optimal: 71.6001 | reward_pref: 32.1646 | reward_npref: 7.3631
[     595 points] regret_avg: 39.4356 | regret_pref: 37.0000 | reward_optimal: 73.9703 | reward_pref: 34.5347 | reward_npref: 8.5734
[     600 points] regret_avg: 39.6556 | regret_pref: 38.0000 | reward_optimal: 74.3582 | reward_pref: 34.7026 | reward_npref: 8.7884
[     605 points] regret_avg: 40.1446 | regret_pref: 38.0000 | reward_optimal: 75.2350 | reward_pref: 35.0904 | reward_npref: 9.1368
[     610 points] regret_avg: 40.2777 | regret_pref: 38.0000 | reward_optimal: 75.9817 | reward_pref: 35.7041 | reward_npref: 9.3623
[     615 points] regret_avg: 41.2036 | regret_pref: 39.0000 | reward_optimal: 77.3833 | reward_pref: 36.1797 | reward_npref: 10.0826
[     620 points] regret_avg: 41.4047 | regret_pref: 39.0000 | reward_optimal: 77.6262 | reward_pref: 36.2215 | reward_npref: 9.4149
[     625 points] regret_avg: 42.2327 | regret_pref: 39.0000 | reward_optimal: 80.3199 | reward_pref: 38.0872 | reward_npref: 10.1556
[     630 points] regret_avg: 42.5491 | regret_pref: 39.0000 | reward_optimal: 82.0523 | reward_pref: 39.5032 | reward_npref: 10.5308
[     635 points] regret_avg: 42.7290 | regret_pref: 39.0000 | reward_optimal: 83.5342 | reward_pref: 40.8052 | reward_npref: 10.8730
[     640 points] regret_avg: 42.8761 | regret_pref: 40.0000 | reward_optimal: 83.8837 | reward_pref: 41.0076 | reward_npref: 11.0904
[     645 points] regret_avg: 42.8988 | regret_pref: 41.0000 | reward_optimal: 84.2606 | reward_pref: 41.3618 | reward_npref: 11.4674
[     650 points] regret_avg: 43.1371 | regret_pref: 41.0000 | reward_optimal: 85.2593 | reward_pref: 42.1223 | reward_npref: 11.8419
[     655 points] regret_avg: 43.6794 | regret_pref: 41.0000 | reward_optimal: 86.1285 | reward_pref: 42.4490 | reward_npref: 12.1010
[     660 points] regret_avg: 44.2409 | regret_pref: 42.0000 | reward_optimal: 87.0525 | reward_pref: 42.8116 | reward_npref: 12.5061
[     665 points] regret_avg: 44.3796 | regret_pref: 42.0000 | reward_optimal: 87.5379 | reward_pref: 43.1583 | reward_npref: 12.7269
[     670 points] regret_avg: 45.8299 | regret_pref: 42.0000 | reward_optimal: 87.6999 | reward_pref: 41.8700 | reward_npref: 10.9540
[     675 points] regret_avg: 47.1966 | regret_pref: 42.0000 | reward_optimal: 87.8264 | reward_pref: 40.6298 | reward_npref: 9.3283
[     680 points] regret_avg: 48.1307 | regret_pref: 42.0000 | reward_optimal: 87.9598 | reward_pref: 39.8290 | reward_npref: 8.1925
[     685 points] regret_avg: 48.1307 | regret_pref: 42.0000 | reward_optimal: 88.2150 | reward_pref: 40.0843 | reward_npref: 7.8460
[     690 points] regret_avg: 48.8765 | regret_pref: 43.0000 | reward_optimal: 88.4347 | reward_pref: 39.5581 | reward_npref: 7.3953
[     695 points] regret_avg: 49.1644 | regret_pref: 43.0000 | reward_optimal: 88.6857 | reward_pref: 39.5213 | reward_npref: 7.0154
[     700 points] regret_avg: 49.1644 | regret_pref: 43.0000 | reward_optimal: 88.8979 | reward_pref: 39.7335 | reward_npref: 6.4146
[     705 points] regret_avg: 49.9039 | regret_pref: 44.0000 | reward_optimal: 89.8959 | reward_pref: 39.9920 | reward_npref: 6.6980
[     710 points] regret_avg: 50.8505 | regret_pref: 44.0000 | reward_optimal: 90.0249 | reward_pref: 39.1744 | reward_npref: 5.6686
[     715 points] regret_avg: 52.1265 | regret_pref: 44.0000 | reward_optimal: 91.8080 | reward_pref: 39.6815 | reward_npref: 6.0406
[     720 points] regret_avg: 52.9094 | regret_pref: 44.0000 | reward_optimal: 91.7918 | reward_pref: 38.8824 | reward_npref: 4.5845
[     725 points] regret_avg: 54.4907 | regret_pref: 45.0000 | reward_optimal: 92.0171 | reward_pref: 37.5264 | reward_npref: 3.4032
[     730 points] regret_avg: 54.9023 | regret_pref: 45.0000 | reward_optimal: 92.1827 | reward_pref: 37.2804 | reward_npref: 2.3478
[     735 points] regret_avg: 54.9722 | regret_pref: 45.0000 | reward_optimal: 93.3263 | reward_pref: 38.3541 | reward_npref: 2.8700
[     740 points] regret_avg: 55.1559 | regret_pref: 46.0000 | reward_optimal: 93.7431 | reward_pref: 38.5872 | reward_npref: 3.2183
[     745 points] regret_avg: 55.5129 | regret_pref: 47.0000 | reward_optimal: 94.0291 | reward_pref: 38.5162 | reward_npref: 3.2104
[     750 points] regret_avg: 55.7004 | regret_pref: 47.0000 | reward_optimal: 94.3210 | reward_pref: 38.6206 | reward_npref: 3.2664
[     755 points] regret_avg: 56.4018 | regret_pref: 47.0000 | reward_optimal: 96.2217 | reward_pref: 39.8198 | reward_npref: 4.3496
[     760 points] regret_avg: 56.5734 | regret_pref: 47.0000 | reward_optimal: 96.4308 | reward_pref: 39.8574 | reward_npref: 4.3801
[     765 points] regret_avg: 57.1488 | regret_pref: 47.0000 | reward_optimal: 96.6434 | reward_pref: 39.4946 | reward_npref: 3.6532
[     770 points] regret_avg: 58.3699 | regret_pref: 48.0000 | reward_optimal: 96.7227 | reward_pref: 38.3527 | reward_npref: 2.5946
[     775 points] regret_avg: 58.3699 | regret_pref: 48.0000 | reward_optimal: 96.9958 | reward_pref: 38.6259 | reward_npref: 2.6546
[     780 points] regret_avg: 59.0620 | regret_pref: 48.0000 | reward_optimal: 98.1570 | reward_pref: 39.0950 | reward_npref: 3.0599
[     785 points] regret_avg: 60.1564 | regret_pref: 48.0000 | reward_optimal: 98.3913 | reward_pref: 38.2349 | reward_npref: 2.0608
[     790 points] regret_avg: 60.5747 | regret_pref: 49.0000 | reward_optimal: 99.0645 | reward_pref: 38.4898 | reward_npref: 2.7339
[     795 points] regret_avg: 62.3440 | regret_pref: 50.0000 | reward_optimal: 102.6418 | reward_pref: 40.2978 | reward_npref: 5.2032
[     800 points] regret_avg: 62.6240 | regret_pref: 50.0000 | reward_optimal: 102.7955 | reward_pref: 40.1714 | reward_npref: 4.4387
[     805 points] regret_avg: 62.8264 | regret_pref: 50.0000 | reward_optimal: 106.0609 | reward_pref: 43.2346 | reward_npref: 7.2996
[     810 points] regret_avg: 62.8264 | regret_pref: 50.0000 | reward_optimal: 109.3701 | reward_pref: 46.5437 | reward_npref: 8.9728
[     815 points] regret_avg: 64.0987 | regret_pref: 50.0000 | reward_optimal: 112.3254 | reward_pref: 48.2267 | reward_npref: 9.4280
[     820 points] regret_avg: 64.5052 | regret_pref: 50.0000 | reward_optimal: 113.1933 | reward_pref: 48.6881 | reward_npref: 9.7734
[     825 points] regret_avg: 64.9260 | regret_pref: 50.0000 | reward_optimal: 115.4809 | reward_pref: 50.5549 | reward_npref: 10.8102
[     830 points] regret_avg: 65.4646 | regret_pref: 51.0000 | reward_optimal: 116.3213 | reward_pref: 50.8567 | reward_npref: 11.6506
[     835 points] regret_avg: 65.6194 | regret_pref: 51.0000 | reward_optimal: 116.6026 | reward_pref: 50.9831 | reward_npref: 11.7514
[     840 points] regret_avg: 65.8246 | regret_pref: 51.0000 | reward_optimal: 118.2786 | reward_pref: 52.4540 | reward_npref: 12.8149
[     845 points] regret_avg: 66.5232 | regret_pref: 52.0000 | reward_optimal: 119.5633 | reward_pref: 53.0401 | reward_npref: 13.9425
[     850 points] regret_avg: 67.0227 | regret_pref: 52.0000 | reward_optimal: 119.6324 | reward_pref: 52.6097 | reward_npref: 12.7517
[     855 points] regret_avg: 67.4898 | regret_pref: 52.0000 | reward_optimal: 119.7389 | reward_pref: 52.2492 | reward_npref: 12.1204
[     860 points] regret_avg: 67.6711 | regret_pref: 53.0000 | reward_optimal: 120.0752 | reward_pref: 52.4042 | reward_npref: 12.3480
[     865 points] regret_avg: 67.6711 | regret_pref: 53.0000 | reward_optimal: 120.1941 | reward_pref: 52.5230 | reward_npref: 11.8405
[     870 points] regret_avg: 68.5405 | regret_pref: 54.0000 | reward_optimal: 120.4512 | reward_pref: 51.9107 | reward_npref: 11.4628
[     875 points] regret_avg: 68.8354 | regret_pref: 54.0000 | reward_optimal: 120.5832 | reward_pref: 51.7478 | reward_npref: 9.6551
[     880 points] regret_avg: 69.7584 | regret_pref: 54.0000 | reward_optimal: 122.2613 | reward_pref: 52.5029 | reward_npref: 10.0282
[     885 points] regret_avg: 70.3419 | regret_pref: 55.0000 | reward_optimal: 122.3675 | reward_pref: 52.0256 | reward_npref: 9.8209
[     890 points] regret_avg: 70.9781 | regret_pref: 55.0000 | reward_optimal: 124.4319 | reward_pref: 53.4538 | reward_npref: 10.8706
[     895 points] regret_avg: 71.5843 | regret_pref: 55.0000 | reward_optimal: 124.3543 | reward_pref: 52.7700 | reward_npref: 7.4285
[     900 points] regret_avg: 72.4107 | regret_pref: 55.0000 | reward_optimal: 124.4445 | reward_pref: 52.0337 | reward_npref: 6.3103
[     905 points] regret_avg: 74.0590 | regret_pref: 56.0000 | reward_optimal: 126.9070 | reward_pref: 52.8480 | reward_npref: 7.5648
[     910 points] regret_avg: 75.6857 | regret_pref: 57.0000 | reward_optimal: 127.0345 | reward_pref: 51.3488 | reward_npref: 6.3526
[     915 points] regret_avg: 76.0097 | regret_pref: 57.0000 | reward_optimal: 128.3687 | reward_pref: 52.3590 | reward_npref: 6.8904
[     920 points] regret_avg: 77.1708 | regret_pref: 57.0000 | reward_optimal: 128.6192 | reward_pref: 51.4485 | reward_npref: 5.8996
[     925 points] regret_avg: 77.2012 | regret_pref: 57.0000 | reward_optimal: 129.1426 | reward_pref: 51.9414 | reward_npref: 6.2156
[     930 points] regret_avg: 78.1361 | regret_pref: 58.0000 | reward_optimal: 130.5604 | reward_pref: 52.4243 | reward_npref: 7.6334
[     935 points] regret_avg: 80.1691 | regret_pref: 59.0000 | reward_optimal: 130.6756 | reward_pref: 50.5065 | reward_npref: 6.2373
[     940 points] regret_avg: 80.5548 | regret_pref: 59.0000 | reward_optimal: 130.9607 | reward_pref: 50.4059 | reward_npref: 5.7150
[     945 points] regret_avg: 82.1028 | regret_pref: 59.0000 | reward_optimal: 133.2889 | reward_pref: 51.1861 | reward_npref: 6.2454
[     950 points] regret_avg: 82.1639 | regret_pref: 59.0000 | reward_optimal: 134.2916 | reward_pref: 52.1277 | reward_npref: 6.8244
[     955 points] regret_avg: 85.5485 | regret_pref: 59.0000 | reward_optimal: 134.2548 | reward_pref: 48.7063 | reward_npref: 2.9102
[     960 points] regret_avg: 85.5485 | regret_pref: 59.0000 | reward_optimal: 134.2581 | reward_pref: 48.7096 | reward_npref: 2.4658
[     965 points] regret_avg: 86.1564 | regret_pref: 60.0000 | reward_optimal: 134.4623 | reward_pref: 48.3059 | reward_npref: 2.2000
[     970 points] regret_avg: 86.2784 | regret_pref: 60.0000 | reward_optimal: 136.4435 | reward_pref: 50.1651 | reward_npref: 3.5730
[     975 points] regret_avg: 87.6039 | regret_pref: 61.0000 | reward_optimal: 138.8406 | reward_pref: 51.2366 | reward_npref: 4.7900
[     980 points] regret_avg: 88.0174 | regret_pref: 62.0000 | reward_optimal: 139.9779 | reward_pref: 51.9606 | reward_npref: 5.5822
