[       5 points] regret_avg: 0.3354 | regret_pref: 0.0000 | reward_optimal: 0.4739 | reward_pref: 0.1385 | reward_npref: -0.0249
[     240 points] regret_avg: 12.6809 | regret_pref: 16.0000 | reward_optimal: 21.9693 | reward_pref: 9.2884 | reward_npref: 4.2673
[     245 points] regret_avg: 13.2203 | regret_pref: 17.0000 | reward_optimal: 22.5315 | reward_pref: 9.3112 | reward_npref: 4.3172
[     250 points] regret_avg: 13.5543 | regret_pref: 17.0000 | reward_optimal: 23.0164 | reward_pref: 9.4621 | reward_npref: 4.4401
[     255 points] regret_avg: 13.6358 | regret_pref: 17.0000 | reward_optimal: 23.7260 | reward_pref: 10.0903 | reward_npref: 4.9881
[     260 points] regret_avg: 14.3634 | regret_pref: 17.0000 | reward_optimal: 24.1280 | reward_pref: 9.7645 | reward_npref: 4.3491
[     265 points] regret_avg: 14.6703 | regret_pref: 17.0000 | reward_optimal: 24.5422 | reward_pref: 9.8719 | reward_npref: 4.4426
[     270 points] regret_avg: 14.6978 | regret_pref: 17.0000 | reward_optimal: 25.0453 | reward_pref: 10.3475 | reward_npref: 4.6770
[     275 points] regret_avg: 14.8205 | regret_pref: 17.0000 | reward_optimal: 25.4691 | reward_pref: 10.6486 | reward_npref: 4.8900
[     280 points] regret_avg: 15.2809 | regret_pref: 18.0000 | reward_optimal: 25.8702 | reward_pref: 10.5893 | reward_npref: 4.8833
[     285 points] regret_avg: 15.6460 | regret_pref: 19.0000 | reward_optimal: 26.3201 | reward_pref: 10.6741 | reward_npref: 4.9699
[     290 points] regret_avg: 15.9265 | regret_pref: 20.0000 | reward_optimal: 26.8059 | reward_pref: 10.8794 | reward_npref: 5.4557
[     295 points] regret_avg: 15.9265 | regret_pref: 20.0000 | reward_optimal: 27.5655 | reward_pref: 11.6390 | reward_npref: 5.8266
[     300 points] regret_avg: 16.1830 | regret_pref: 20.0000 | reward_optimal: 28.0007 | reward_pref: 11.8177 | reward_npref: 5.5248
[     305 points] regret_avg: 16.3698 | regret_pref: 20.0000 | reward_optimal: 28.5035 | reward_pref: 12.1337 | reward_npref: 5.7596
[     310 points] regret_avg: 16.7564 | regret_pref: 20.0000 | reward_optimal: 28.7472 | reward_pref: 11.9907 | reward_npref: 5.5174
[     315 points] regret_avg: 17.0750 | regret_pref: 21.0000 | reward_optimal: 29.3395 | reward_pref: 12.2645 | reward_npref: 5.8183
[     320 points] regret_avg: 17.5412 | regret_pref: 22.0000 | reward_optimal: 29.8225 | reward_pref: 12.2812 | reward_npref: 5.9099
[     325 points] regret_avg: 17.6729 | regret_pref: 22.0000 | reward_optimal: 30.2355 | reward_pref: 12.5626 | reward_npref: 6.0908
[     330 points] regret_avg: 17.8917 | regret_pref: 23.0000 | reward_optimal: 30.5492 | reward_pref: 12.6575 | reward_npref: 6.4045
[     335 points] regret_avg: 18.2916 | regret_pref: 23.0000 | reward_optimal: 30.9301 | reward_pref: 12.6385 | reward_npref: 6.2464
[     340 points] regret_avg: 18.5708 | regret_pref: 23.0000 | reward_optimal: 31.3190 | reward_pref: 12.7482 | reward_npref: 6.3182
[     345 points] regret_avg: 18.9053 | regret_pref: 24.0000 | reward_optimal: 31.8199 | reward_pref: 12.9146 | reward_npref: 6.4909
[     350 points] regret_avg: 19.5091 | regret_pref: 24.0000 | reward_optimal: 32.1394 | reward_pref: 12.6302 | reward_npref: 5.8546
[     355 points] regret_avg: 19.7015 | regret_pref: 24.0000 | reward_optimal: 32.5593 | reward_pref: 12.8578 | reward_npref: 6.0546
[     360 points] regret_avg: 20.0055 | regret_pref: 24.0000 | reward_optimal: 32.9219 | reward_pref: 12.9164 | reward_npref: 6.1113
[     365 points] regret_avg: 20.1984 | regret_pref: 25.0000 | reward_optimal: 33.2358 | reward_pref: 13.0373 | reward_npref: 6.2468
[     370 points] regret_avg: 20.4715 | regret_pref: 26.0000 | reward_optimal: 33.7762 | reward_pref: 13.3048 | reward_npref: 6.5422
[     375 points] regret_avg: 20.5139 | regret_pref: 26.0000 | reward_optimal: 34.0419 | reward_pref: 13.5281 | reward_npref: 6.6776
[     380 points] regret_avg: 20.6313 | regret_pref: 26.0000 | reward_optimal: 34.7219 | reward_pref: 14.0907 | reward_npref: 6.9380
[     385 points] regret_avg: 20.9943 | regret_pref: 27.0000 | reward_optimal: 35.2786 | reward_pref: 14.2843 | reward_npref: 7.1535
[     390 points] regret_avg: 21.4310 | regret_pref: 27.0000 | reward_optimal: 35.7248 | reward_pref: 14.2938 | reward_npref: 7.1095
[     395 points] regret_avg: 21.7389 | regret_pref: 27.0000 | reward_optimal: 36.1861 | reward_pref: 14.4472 | reward_npref: 7.2380
[     400 points] regret_avg: 22.1355 | regret_pref: 27.0000 | reward_optimal: 36.5593 | reward_pref: 14.4238 | reward_npref: 7.1513
[     405 points] regret_avg: 22.1355 | regret_pref: 27.0000 | reward_optimal: 37.2416 | reward_pref: 15.1061 | reward_npref: 7.4466
[     410 points] regret_avg: 22.1355 | regret_pref: 27.0000 | reward_optimal: 37.4817 | reward_pref: 15.3462 | reward_npref: 7.0879
[     415 points] regret_avg: 22.3416 | regret_pref: 27.0000 | reward_optimal: 37.7932 | reward_pref: 15.4516 | reward_npref: 7.1765
[     420 points] regret_avg: 22.7378 | regret_pref: 27.0000 | reward_optimal: 38.1964 | reward_pref: 15.4586 | reward_npref: 7.1363
[     425 points] regret_avg: 22.7378 | regret_pref: 27.0000 | reward_optimal: 38.3593 | reward_pref: 15.6216 | reward_npref: 6.8473
[     430 points] regret_avg: 22.9380 | regret_pref: 27.0000 | reward_optimal: 38.6725 | reward_pref: 15.7346 | reward_npref: 6.9396
[     435 points] regret_avg: 23.2937 | regret_pref: 28.0000 | reward_optimal: 39.0472 | reward_pref: 15.7535 | reward_npref: 6.9895
[     440 points] regret_avg: 23.3981 | regret_pref: 28.0000 | reward_optimal: 39.5132 | reward_pref: 16.1151 | reward_npref: 7.2110
[     445 points] regret_avg: 23.7727 | regret_pref: 28.0000 | reward_optimal: 39.8071 | reward_pref: 16.0344 | reward_npref: 6.8334
[     450 points] regret_avg: 24.1766 | regret_pref: 29.0000 | reward_optimal: 40.3327 | reward_pref: 16.1562 | reward_npref: 6.9697
[     455 points] regret_avg: 24.4643 | regret_pref: 29.0000 | reward_optimal: 40.7153 | reward_pref: 16.2510 | reward_npref: 7.0576
[     460 points] regret_avg: 24.7398 | regret_pref: 30.0000 | reward_optimal: 41.2748 | reward_pref: 16.5351 | reward_npref: 7.4310
[     465 points] regret_avg: 24.9424 | regret_pref: 30.0000 | reward_optimal: 41.7121 | reward_pref: 16.7697 | reward_npref: 7.5809
[     470 points] regret_avg: 25.5316 | regret_pref: 30.0000 | reward_optimal: 42.2515 | reward_pref: 16.7199 | reward_npref: 7.5087
[     475 points] regret_avg: 26.0028 | regret_pref: 31.0000 | reward_optimal: 42.7754 | reward_pref: 16.7726 | reward_npref: 7.5990
[     480 points] regret_avg: 26.3780 | regret_pref: 31.0000 | reward_optimal: 43.2327 | reward_pref: 16.8547 | reward_npref: 7.6516
[     485 points] regret_avg: 26.6651 | regret_pref: 31.0000 | reward_optimal: 43.6034 | reward_pref: 16.9383 | reward_npref: 7.4359
[     490 points] regret_avg: 26.8375 | regret_pref: 31.0000 | reward_optimal: 44.0886 | reward_pref: 17.2511 | reward_npref: 7.6574
[     495 points] regret_avg: 27.4733 | regret_pref: 31.0000 | reward_optimal: 44.4931 | reward_pref: 17.0198 | reward_npref: 7.2343
[     500 points] regret_avg: 27.7764 | regret_pref: 32.0000 | reward_optimal: 44.9239 | reward_pref: 17.1476 | reward_npref: 7.6651
[     505 points] regret_avg: 28.0392 | regret_pref: 32.0000 | reward_optimal: 45.6755 | reward_pref: 17.6363 | reward_npref: 7.9126
[     510 points] regret_avg: 28.4015 | regret_pref: 32.0000 | reward_optimal: 46.5525 | reward_pref: 18.1510 | reward_npref: 8.2374
[     515 points] regret_avg: 28.6047 | regret_pref: 33.0000 | reward_optimal: 46.9504 | reward_pref: 18.3457 | reward_npref: 8.6130
[     520 points] regret_avg: 28.8329 | regret_pref: 33.0000 | reward_optimal: 47.4352 | reward_pref: 18.6023 | reward_npref: 8.8022
[     525 points] regret_avg: 29.0321 | regret_pref: 33.0000 | reward_optimal: 47.7633 | reward_pref: 18.7312 | reward_npref: 8.7965
[     530 points] regret_avg: 29.3417 | regret_pref: 33.0000 | reward_optimal: 48.0931 | reward_pref: 18.7514 | reward_npref: 8.3512
[     535 points] regret_avg: 29.5658 | regret_pref: 33.0000 | reward_optimal: 48.4678 | reward_pref: 18.9021 | reward_npref: 8.4878
[     540 points] regret_avg: 29.8869 | regret_pref: 34.0000 | reward_optimal: 49.0162 | reward_pref: 19.1293 | reward_npref: 8.7421
[     545 points] regret_avg: 30.0164 | regret_pref: 34.0000 | reward_optimal: 49.7557 | reward_pref: 19.7394 | reward_npref: 9.0698
[     550 points] regret_avg: 30.2180 | regret_pref: 35.0000 | reward_optimal: 50.3035 | reward_pref: 20.0855 | reward_npref: 9.4988
[     555 points] regret_avg: 30.2984 | regret_pref: 35.0000 | reward_optimal: 50.7952 | reward_pref: 20.4968 | reward_npref: 9.7989
[     560 points] regret_avg: 30.6233 | regret_pref: 35.0000 | reward_optimal: 51.1307 | reward_pref: 20.5074 | reward_npref: 9.5085
[     565 points] regret_avg: 31.1261 | regret_pref: 35.0000 | reward_optimal: 51.5035 | reward_pref: 20.3774 | reward_npref: 9.1059
[     570 points] regret_avg: 31.6857 | regret_pref: 35.0000 | reward_optimal: 51.8809 | reward_pref: 20.1952 | reward_npref: 8.9008
[     575 points] regret_avg: 32.0370 | regret_pref: 35.0000 | reward_optimal: 52.2148 | reward_pref: 20.1778 | reward_npref: 8.6081
[     580 points] regret_avg: 32.2602 | regret_pref: 35.0000 | reward_optimal: 52.8783 | reward_pref: 20.6181 | reward_npref: 8.9793
[     585 points] regret_avg: 32.4904 | regret_pref: 36.0000 | reward_optimal: 53.2043 | reward_pref: 20.7139 | reward_npref: 9.0878
[     590 points] regret_avg: 32.9362 | regret_pref: 37.0000 | reward_optimal: 53.7054 | reward_pref: 20.7692 | reward_npref: 9.1574
[     595 points] regret_avg: 32.9362 | regret_pref: 37.0000 | reward_optimal: 54.4863 | reward_pref: 21.5501 | reward_npref: 9.5817
[     600 points] regret_avg: 33.3460 | regret_pref: 38.0000 | reward_optimal: 54.9926 | reward_pref: 21.6466 | reward_npref: 9.8416
[     605 points] regret_avg: 33.7288 | regret_pref: 39.0000 | reward_optimal: 55.5692 | reward_pref: 21.8404 | reward_npref: 10.0374
[     610 points] regret_avg: 33.8895 | regret_pref: 39.0000 | reward_optimal: 55.9444 | reward_pref: 22.0550 | reward_npref: 10.2008
[     615 points] regret_avg: 34.1511 | regret_pref: 40.0000 | reward_optimal: 56.3994 | reward_pref: 22.2483 | reward_npref: 10.4548
[     620 points] regret_avg: 34.3688 | regret_pref: 40.0000 | reward_optimal: 56.7846 | reward_pref: 22.4158 | reward_npref: 10.2683
[     625 points] regret_avg: 34.6151 | regret_pref: 40.0000 | reward_optimal: 57.6331 | reward_pref: 23.0180 | reward_npref: 10.5728
[     630 points] regret_avg: 34.7075 | regret_pref: 40.0000 | reward_optimal: 58.1879 | reward_pref: 23.4804 | reward_npref: 10.8602
[     635 points] regret_avg: 34.7599 | regret_pref: 40.0000 | reward_optimal: 58.6654 | reward_pref: 23.9055 | reward_npref: 11.1357
[     640 points] regret_avg: 34.9817 | regret_pref: 40.0000 | reward_optimal: 59.1262 | reward_pref: 24.1444 | reward_npref: 11.2379
[     645 points] regret_avg: 35.0234 | regret_pref: 41.0000 | reward_optimal: 59.2823 | reward_pref: 24.2589 | reward_npref: 11.3587
[     650 points] regret_avg: 35.2203 | regret_pref: 42.0000 | reward_optimal: 59.7367 | reward_pref: 24.5164 | reward_npref: 11.8131
[     655 points] regret_avg: 35.4966 | regret_pref: 43.0000 | reward_optimal: 60.1780 | reward_pref: 24.6814 | reward_npref: 12.0578
[     660 points] regret_avg: 35.8842 | regret_pref: 43.0000 | reward_optimal: 60.7640 | reward_pref: 24.8798 | reward_npref: 12.2541
[     665 points] regret_avg: 36.1446 | regret_pref: 43.0000 | reward_optimal: 61.1539 | reward_pref: 25.0094 | reward_npref: 12.3694
[     670 points] regret_avg: 36.8569 | regret_pref: 43.0000 | reward_optimal: 61.5151 | reward_pref: 24.6582 | reward_npref: 11.8678
[     675 points] regret_avg: 37.5134 | regret_pref: 43.0000 | reward_optimal: 61.8343 | reward_pref: 24.3209 | reward_npref: 11.4104
[     680 points] regret_avg: 38.0048 | regret_pref: 43.0000 | reward_optimal: 62.1137 | reward_pref: 24.1089 | reward_npref: 11.0928
[     685 points] regret_avg: 38.0048 | regret_pref: 43.0000 | reward_optimal: 62.5205 | reward_pref: 24.5157 | reward_npref: 11.0261
[     690 points] regret_avg: 38.5086 | regret_pref: 44.0000 | reward_optimal: 62.9137 | reward_pref: 24.4051 | reward_npref: 10.9432
[     695 points] regret_avg: 38.8285 | regret_pref: 44.0000 | reward_optimal: 63.3019 | reward_pref: 24.4734 | reward_npref: 10.8546
[     700 points] regret_avg: 38.8285 | regret_pref: 44.0000 | reward_optimal: 63.7092 | reward_pref: 24.8807 | reward_npref: 10.7307
[     705 points] regret_avg: 39.0073 | regret_pref: 45.0000 | reward_optimal: 64.0471 | reward_pref: 25.0397 | reward_npref: 11.0686
[     710 points] regret_avg: 39.4863 | regret_pref: 45.0000 | reward_optimal: 64.3142 | reward_pref: 24.8279 | reward_npref: 10.7930
[     715 points] regret_avg: 39.7900 | regret_pref: 46.0000 | reward_optimal: 64.8371 | reward_pref: 25.0472 | reward_npref: 11.2021
[     720 points] regret_avg: 40.1818 | regret_pref: 46.0000 | reward_optimal: 65.0599 | reward_pref: 24.8782 | reward_npref: 10.8230
[     725 points] regret_avg: 40.9658 | regret_pref: 47.0000 | reward_optimal: 65.4914 | reward_pref: 24.5257 | reward_npref: 10.5222
[     730 points] regret_avg: 41.2952 | regret_pref: 47.0000 | reward_optimal: 65.8246 | reward_pref: 24.5294 | reward_npref: 10.2504
[     735 points] regret_avg: 41.3137 | regret_pref: 47.0000 | reward_optimal: 66.1554 | reward_pref: 24.8417 | reward_npref: 10.4272
[     740 points] regret_avg: 41.5759 | regret_pref: 47.0000 | reward_optimal: 66.7002 | reward_pref: 25.1244 | reward_npref: 10.5572
[     745 points] regret_avg: 41.9901 | regret_pref: 48.0000 | reward_optimal: 67.1405 | reward_pref: 25.1504 | reward_npref: 10.6276
[     750 points] regret_avg: 42.2743 | regret_pref: 48.0000 | reward_optimal: 67.5698 | reward_pref: 25.2954 | reward_npref: 10.6720
[     755 points] regret_avg: 42.4563 | regret_pref: 48.0000 | reward_optimal: 68.0999 | reward_pref: 25.6435 | reward_npref: 10.9911
[     760 points] regret_avg: 42.7187 | regret_pref: 48.0000 | reward_optimal: 68.4084 | reward_pref: 25.6897 | reward_npref: 11.0173
[     765 points] regret_avg: 43.1655 | regret_pref: 48.0000 | reward_optimal: 68.8320 | reward_pref: 25.6665 | reward_npref: 10.8646
[     770 points] regret_avg: 43.6760 | regret_pref: 49.0000 | reward_optimal: 69.0527 | reward_pref: 25.3767 | reward_npref: 10.5981
[     775 points] regret_avg: 43.6760 | regret_pref: 49.0000 | reward_optimal: 69.4772 | reward_pref: 25.8012 | reward_npref: 10.7313
[     780 points] regret_avg: 43.8752 | regret_pref: 49.0000 | reward_optimal: 69.8497 | reward_pref: 25.9746 | reward_npref: 10.8974
[     785 points] regret_avg: 44.5127 | regret_pref: 49.0000 | reward_optimal: 70.2919 | reward_pref: 25.7792 | reward_npref: 10.6618
[     790 points] regret_avg: 44.7702 | regret_pref: 50.0000 | reward_optimal: 70.6782 | reward_pref: 25.9080 | reward_npref: 10.8570
[     795 points] regret_avg: 45.2161 | regret_pref: 51.0000 | reward_optimal: 71.6289 | reward_pref: 26.4127 | reward_npref: 11.5257
[     800 points] regret_avg: 45.4714 | regret_pref: 51.0000 | reward_optimal: 72.0334 | reward_pref: 26.5619 | reward_npref: 11.3867
[     805 points] regret_avg: 45.5221 | regret_pref: 51.0000 | reward_optimal: 72.8882 | reward_pref: 27.3660 | reward_npref: 12.1403
[     810 points] regret_avg: 45.5221 | regret_pref: 51.0000 | reward_optimal: 73.7524 | reward_pref: 28.2303 | reward_npref: 12.6012
[     815 points] regret_avg: 45.8313 | regret_pref: 51.0000 | reward_optimal: 74.5319 | reward_pref: 28.7005 | reward_npref: 13.0670
[     820 points] regret_avg: 46.1305 | regret_pref: 52.0000 | reward_optimal: 74.9963 | reward_pref: 28.8658 | reward_npref: 13.5314
[     825 points] regret_avg: 46.2305 | regret_pref: 52.0000 | reward_optimal: 75.5975 | reward_pref: 29.3670 | reward_npref: 13.8506
[     830 points] regret_avg: 46.2305 | regret_pref: 52.0000 | reward_optimal: 76.0017 | reward_pref: 29.7712 | reward_npref: 14.0826
[     835 points] regret_avg: 46.5939 | regret_pref: 53.0000 | reward_optimal: 76.4293 | reward_pref: 29.8355 | reward_npref: 14.1674
[     840 points] regret_avg: 46.6424 | regret_pref: 53.0000 | reward_optimal: 76.8726 | reward_pref: 30.2302 | reward_npref: 14.4695
[     845 points] regret_avg: 46.8075 | regret_pref: 54.0000 | reward_optimal: 77.2224 | reward_pref: 30.4149 | reward_npref: 14.7681
[     850 points] regret_avg: 47.1040 | regret_pref: 54.0000 | reward_optimal: 77.4557 | reward_pref: 30.3518 | reward_npref: 14.4904
[     855 points] regret_avg: 47.4104 | regret_pref: 54.0000 | reward_optimal: 77.7113 | reward_pref: 30.3009 | reward_npref: 14.3573
[     860 points] regret_avg: 47.7027 | regret_pref: 54.0000 | reward_optimal: 78.1693 | reward_pref: 30.4667 | reward_npref: 14.4518
[     865 points] regret_avg: 47.7027 | regret_pref: 54.0000 | reward_optimal: 78.4838 | reward_pref: 30.7811 | reward_npref: 14.3762
[     870 points] regret_avg: 48.3131 | regret_pref: 55.0000 | reward_optimal: 78.9955 | reward_pref: 30.6823 | reward_npref: 14.3593
[     875 points] regret_avg: 48.5789 | regret_pref: 55.0000 | reward_optimal: 79.4158 | reward_pref: 30.8369 | reward_npref: 13.9528
[     880 points] regret_avg: 48.7831 | regret_pref: 55.0000 | reward_optimal: 79.8388 | reward_pref: 31.0557 | reward_npref: 14.1260
[     885 points] regret_avg: 49.1024 | regret_pref: 56.0000 | reward_optimal: 80.0571 | reward_pref: 30.9546 | reward_npref: 14.1041
[     890 points] regret_avg: 49.2468 | regret_pref: 56.0000 | reward_optimal: 80.5659 | reward_pref: 31.3191 | reward_npref: 14.3870
[     895 points] regret_avg: 49.5484 | regret_pref: 56.0000 | reward_optimal: 80.7828 | reward_pref: 31.2344 | reward_npref: 13.5825
[     900 points] regret_avg: 49.9529 | regret_pref: 56.0000 | reward_optimal: 81.0346 | reward_pref: 31.0817 | reward_npref: 13.3311
[     905 points] regret_avg: 50.2911 | regret_pref: 57.0000 | reward_optimal: 81.6342 | reward_pref: 31.3431 | reward_npref: 13.6693
[     910 points] regret_avg: 50.9683 | regret_pref: 58.0000 | reward_optimal: 81.9794 | reward_pref: 31.0112 | reward_npref: 13.4092
[     915 points] regret_avg: 51.1534 | regret_pref: 58.0000 | reward_optimal: 82.4325 | reward_pref: 31.2791 | reward_npref: 13.5974
[     920 points] regret_avg: 51.8534 | regret_pref: 58.0000 | reward_optimal: 82.9579 | reward_pref: 31.1044 | reward_npref: 13.4009
[     925 points] regret_avg: 52.1971 | regret_pref: 58.0000 | reward_optimal: 83.4427 | reward_pref: 31.2456 | reward_npref: 13.5196
[     930 points] regret_avg: 52.4128 | regret_pref: 59.0000 | reward_optimal: 83.8337 | reward_pref: 31.4209 | reward_npref: 13.8665
[     935 points] regret_avg: 53.2116 | regret_pref: 60.0000 | reward_optimal: 84.2138 | reward_pref: 31.0022 | reward_npref: 13.5767
[     940 points] regret_avg: 53.6599 | regret_pref: 60.0000 | reward_optimal: 84.7588 | reward_pref: 31.0988 | reward_npref: 13.4962
[     945 points] regret_avg: 53.9519 | regret_pref: 61.0000 | reward_optimal: 85.3138 | reward_pref: 31.3619 | reward_npref: 13.7600
[     950 points] regret_avg: 54.0705 | regret_pref: 61.0000 | reward_optimal: 85.6655 | reward_pref: 31.5950 | reward_npref: 13.9239
[     955 points] regret_avg: 55.1244 | regret_pref: 61.0000 | reward_optimal: 85.9653 | reward_pref: 30.8409 | reward_npref: 13.0553
[     960 points] regret_avg: 55.1244 | regret_pref: 61.0000 | reward_optimal: 86.1462 | reward_pref: 31.0219 | reward_npref: 12.9995
[     965 points] regret_avg: 55.5892 | regret_pref: 62.0000 | reward_optimal: 86.5484 | reward_pref: 30.9592 | reward_npref: 12.9798
[     970 points] regret_avg: 55.6150 | regret_pref: 62.0000 | reward_optimal: 87.0120 | reward_pref: 31.3970 | reward_npref: 13.3174
[     975 points] regret_avg: 55.8869 | regret_pref: 63.0000 | reward_optimal: 87.5655 | reward_pref: 31.6786 | reward_npref: 13.6262
[     980 points] regret_avg: 56.0800 | regret_pref: 64.0000 | reward_optimal: 87.9525 | reward_pref: 31.8725 | reward_npref: 13.8324
